1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 98056.914),(2 323530.03),(3 610292.3),(4 854123.7),(5 1002939.2),(6 1070057.9),(7 1134065.5),(8 1186649.1),(9 1220423.4),(10 1249954.4),(11 1283589.5),(12 1315481.3),(13 1352231.1),(14 1379774),(15 1414648.6),(16 1438849.4),(17 1474313.4),(18 1506143.4),(19 1551018.5),(20 1603260.6),(21 1650251),(22 1666631.4),(23 1689059.9),(24 1718068.6),(25 1753065.6),(26 1799937),(27 1849451),(28 1886246.4),(29 1925324.6),(30 1955866.5),(31 1987278),(32 2006006.6),(33 2022189.5),(34 2031945),(35 2056109.4),(36 2074607.5),(37 2079557.9),(38 2069828),(39 2078795.6),(40 2087610.4),(41 2111053.3),(42 2120401),(43 2117172.5),(44 2110780.8),(45 2082666.4),(46 2060897.1),(47 2055558.5),(48 2059112.5),(49 2049713.6),(50 2011317.6),(51 1979815.6),(52 1952579.6),(53 1943070.6),(54 1954302.4),(55 1967828.6),(56 1998167),(57 2013881.4),(58 2012931.4),(59 1997388.6),(60 1968945.4),(61 1940936),(62 1911295.1),(63 1899197.4),(64 1884789.4),(65 1874194.4),(66 1846166.9),(67 1825708.6),(68 1818082.6),(69 1842196.4),(70 1884610.5),(71 1917628.1),(72 1956754.1),(73 2002031.5),(74 2038720.4),(75 2070034.5),(76 2083335.5),(77 2094060),(78 2083134.6),(79 2080429.4),
(1 50893.78),(2 166383.1),(3 305908.9),(4 414438.28),(5 475942.5),(6 507998.9),(7 537188.2),(8 559730.6),(9 583223.94),(10 604788.9),(11 637682.5),(12 683837.1),(13 732159.3),(14 773301.7),(15 804370.1),(16 822388.2),(17 852126.2),(18 876813.4),(19 907985),(20 942589.2),(21 997812.4),(22 1037381.3),(23 1075126.8),(24 1115036.4),(25 1156164),(26 1208671.3),(27 1263508.4),(28 1312512.3),(29 1366026.3),(30 1413050.3),(31 1469246.4),(32 1530218.6),(33 1595724.4),(34 1651622),(35 1704729.8),(36 1742386.8),(37 1784691.3),(38 1825263.6),(39 1856908.6),(40 1882738),(41 1911359.6),(42 1948043.6),(43 1976418.8),(44 2011492.8),(45 2045558.3),(46 2074733.6),(47 2117956.5),(48 2167342.8),(49 2198582.3),(50 2216409),(51 2239635.5),(52 2267188.8),(53 2315545.8),(54 2364291.3),(55 2424162.5),(56 2480234.8),(57 2533623.3),(58 2578623.5),(59 2630173.5),(60 2694740.5),(61 2760954.5),(62 2815928.8),(63 2858146.5),(64 2904870.8),(65 2964441.5),(66 3004979.8),(67 3078596.8),(68 3142921.3),(69 3202971.8),(70 3259680.5),(71 3323714.8),(72 3390784.8),(73 3464166.5),(74 3520984.8),(75 3570313.5),(76 3615584.8),(77 3657472.8),(78 3663684),(79 3685536.8),
(1 39113.375),(2 127491.48),(3 238284.92),(4 330047.66),(5 391817.9),(6 428687.97),(7 465794.47),(8 497872.84),(9 527478.25),(10 554767),(11 598376.4),(12 649510.5),(13 704643.75),(14 752825.2),(15 791316.5),(16 816554),(17 852031.7),(18 891639.25),(19 933879.7),(20 987949.7),(21 1055080.5),(22 1106911.4),(23 1161454.9),(24 1212673.3),(25 1271215.1),(26 1330847.9),(27 1391976.9),(28 1440336.4),(29 1486830.5),(30 1528495.1),(31 1569551.9),(32 1618993.6),(33 1665726.5),(34 1702828),(35 1726913.6),(36 1729890.4),(37 1738345),(38 1749441.6),(39 1763032.6),(40 1770668),(41 1794523.6),(42 1831314.6),(43 1843882.6),(44 1862716),(45 1886451.9),(46 1909308),(47 1966513.4),(48 2029212.4),(49 2091654),(50 2136486.8),(51 2188772.8),(52 2245777.8),(53 2321363.8),(54 2398999.8),(55 2475678),(56 2543808.8),(57 2601722.8),(58 2656440),(59 2716897.8),(60 2786312.8),(61 2868166),(62 2924053.3),(63 2973869),(64 3020996),(65 3069309.3),(66 3108482.3),(67 3157331.3),(68 3186881.8),(69 3210387.3),(70 3240376.3),(71 3260655.3),(72 3282635),(73 3319716),(74 3352847),(75 3381670.8),(76 3407228.8),(77 3432854),(78 3436318.3),(79 3448911),
(1 31817.209),(2 102456.62),(3 190403.97),(4 263769.13),(5 321063.5),(6 367675.66),(7 424625.38),(8 479667.16),(9 533859.06),(10 580696.75),(11 643406.1),(12 707757.06),(13 772112.1),(14 834533.5),(15 885077.75),(16 929195.44),(17 977520.44),(18 1020758.25),(19 1071422.1),(20 1130469.5),(21 1190562.5),(22 1247801.6),(23 1304875.6),(24 1354536.5),(25 1412417.8),(26 1462179.1),(27 1512812.9),(28 1550430.5),(29 1594076),(30 1634086.6),(31 1670454.3),(32 1712566.5),(33 1758398.5),(34 1789575.1),(35 1819179.3),(36 1823687.9),(37 1829365.4),(38 1835644.6),(39 1854666.5),(40 1868622.9),(41 1900027.1),(42 1936312.6),(43 1953327.5),(44 1964217.4),(45 1980895.4),(46 1992844.3),(47 2017963.8),(48 2037202.9),(49 2057593.8),(50 2062794.3),(51 2074183.1),(52 2084599.4),(53 2099563),(54 2109393.3),(55 2105712.5),(56 2084953.8),(57 2058902),(58 2043922.5),(59 2033926.6),(60 2022066.9),(61 2014824),(62 2000394.3),(63 1979521.8),(64 1959366.5),(65 1941404),(66 1919569.8),(67 1900426.6),(68 1879922.3),(69 1865156.3),(70 1861675.4),(71 1855614.3),(72 1850459.9),(73 1861642.6),(74 1875892.5),(75 1889453.8),(76 1897491.1),(77 1912148.9),(78 1921757.8),(79 1924380.3),
(1 23336.365),(2 74033.445),(3 138138.98),(4 194598.36),(5 245799.06),(6 293908.97),(7 351933.16),(8 413374.38),(9 476010.5),(10 534795.4),(11 603651.75),(12 672548.75),(13 740934.25),(14 806360.8),(15 866210.2),(16 919153.6),(17 977407.6),(18 1033153.56),(19 1093717.5),(20 1156449.1),(21 1208980.9),(22 1260634.9),(23 1309229.1),(24 1352876.5),(25 1403419.6),(26 1453973),(27 1504057.1),(28 1540367.3),(29 1577751.5),(30 1612369.1),(31 1644404.8),(32 1676459.3),(33 1710408.4),(34 1733599.3),(35 1748203.3),(36 1750099.9),(37 1758465.9),(38 1760838.4),(39 1760640.4),(40 1755395.5),(41 1757964.8),(42 1757042.5),(43 1741196.4),(44 1725231.5),(45 1717464.8),(46 1704398.1),(47 1699076.5),(48 1693890.1),(49 1687817.1),(50 1684265.6),(51 1681827.6),(52 1679923.9),(53 1683032.9),(54 1684646),(55 1680116.8),(56 1676689.6),(57 1668482.8),(58 1659456),(59 1656430.5),(60 1655700.8),(61 1661025.3),(62 1662407.6),(63 1661085.6),(64 1662784.9),(65 1657518.9),(66 1655682),(67 1658037.1),(68 1662125.6),(69 1666967.3),(70 1679901.9),(71 1689222.1),(72 1699970),(73 1717752),(74 1743065.5),(75 1781652.8),(76 1811174.5),(77 1855282.9),(78 1899812.4),(79 1947523.6),
(1 19568.24),(2 61362.867),(3 119452.45),(4 174154.4),(5 232076.22),(6 294333.75),(7 367577.5),(8 443666.9),(9 517714.8),(10 587939.25),(11 667467.1),(12 741050.8),(13 813728.3),(14 883016),(15 952082.9),(16 1014514),(17 1080626.3),(18 1143303.6),(19 1215772.3),(20 1287154.4),(21 1346877.1),(22 1400084.5),(23 1455763.5),(24 1505356.3),(25 1557179.3),(26 1607375.6),(27 1660254.8),(28 1693344.4),(29 1736556.4),(30 1783573.3),(31 1832510.4),(32 1865372),(33 1903642.4),(34 1937415.4),(35 1956746.6),(36 1966699.8),(37 1972445.3),(38 1983238.8),(39 1994566),(40 1995731.6),(41 1994495.8),(42 1991606.3),(43 1982146.4),(44 1967950.4),(45 1961556.4),(46 1948123.3),(47 1938956.4),(48 1928538.8),(49 1921985.6),(50 1913364.4),(51 1905041),(52 1891452.8),(53 1893714.4),(54 1898451.8),(55 1900841),(56 1907297.8),(57 1919120.4),(58 1924616),(59 1931299),(60 1946515.6),(61 1970623.8),(62 1984705.3),(63 1980688),(64 1987930.4),(65 1982570),(66 1982139.3),(67 1980542),(68 1976663.4),(69 1962759.8),(70 1956362.8),(71 1942992.4),(72 1921594),(73 1901171.3),(74 1881709.6),(75 1864331.4),(76 1844708),(77 1826732.8),(78 1803879.8),(79 1773575),
(1 15227.572),(2 46980.043),(3 88248.78),(4 125229.75),(5 163681.78),(6 202540.11),(7 245566.9),(8 292785.66),(9 339396.44),(10 382166.16),(11 427516.72),(12 473738.63),(13 526114.06),(14 578707.3),(15 628197.9),(16 669534.44),(17 715011.25),(18 760372.9),(19 805754.6),(20 851355),(21 891051.56),(22 923728),(23 964749.4),(24 1002533.44),(25 1039946.7),(26 1076406.8),(27 1105950),(28 1131887.9),(29 1165784.9),(30 1200838.8),(31 1234444.9),(32 1267573.3),(33 1299374.9),(34 1324010.5),(35 1343107.8),(36 1355619.9),(37 1364370.6),(38 1371337.5),(39 1376864.8),(40 1379919.5),(41 1380291.5),(42 1385004.1),(43 1389264.9),(44 1387977.1),(45 1384111.5),(46 1378970.9),(47 1381180.8),(48 1382638.5),(49 1387493.4),(50 1386698.5),(51 1388965.4),(52 1387088.3),(53 1394669.8),(54 1412449.9),(55 1424201.9),(56 1439399.8),(57 1463056.3),(58 1488584.8),(59 1531021.8),(60 1578559.1),(61 1636052.9),(62 1679222.8),(63 1723348),(64 1765177.8),(65 1805915.4),(66 1847864.5),(67 1883891.9),(68 1918528.9),(69 1959751.4),(70 1994281.5),(71 2027935.9),(72 2049676.1),(73 2074093.1),(74 2092897.3),(75 2107746.3),(76 2121154),(77 2139141),(78 2148516),(79 2151389.5),
(1 16342.629),(2 50599.684),(3 96107.9),(4 140361.02),(5 188113),(6 238255.69),(7 296346.44),(8 358088.28),(9 418520.88),(10 473180.5),(11 532982.6),(12 594084.7),(13 662397.75),(14 728345.6),(15 789328.56),(16 841232),(17 896646.3),(18 950128.7),(19 1003159.9),(20 1052772.5),(21 1096856.5),(22 1128139.8),(23 1162265.9),(24 1188015.5),(25 1211691.5),(26 1238880),(27 1264753.9),(28 1284280.8),(29 1305286.5),(30 1321566.6),(31 1333660.8),(32 1342828.3),(33 1356522.1),(34 1364860.1),(35 1372210.4),(36 1384823.3),(37 1395400),(38 1407047.8),(39 1424984.8),(40 1440725.6),(41 1449118.1),(42 1462886.1),(43 1485360),(44 1504611.3),(45 1526196.5),(46 1544177.4),(47 1567626.6),(48 1593598.8),(49 1630010.9),(50 1659877.8),(51 1691332.9),(52 1721560.1),(53 1759508.5),(54 1800170.6),(55 1838697.6),(56 1879177.3),(57 1922447.6),(58 1961697.3),(59 2013148.1),(60 2064297.6),(61 2113574.8),(62 2161285.5),(63 2210320.8),(64 2252950.3),(65 2297091),(66 2330643.3),(67 2354659.8),(68 2382006.5),(69 2405530.3),(70 2425828.3),(71 2445245.3),(72 2456280),(73 2477759.5),(74 2491575.3),(75 2496536.3),(76 2500147.8),(77 2491683.8),(78 2483530.8),(79 2466060.8),
(1 17986.479),(2 59792.242),(3 117084.5),(4 178786.03),(5 252783.94),(6 337527.72),(7 436080.56),(8 546310.5),(9 659587.25),(10 761040.4),(11 873592.5),(12 989751.44),(13 1112766),(14 1232994.4),(15 1344232.6),(16 1436203.5),(17 1536017.4),(18 1623872.1),(19 1707311.8),(20 1777693.8),(21 1826307.8),(22 1860117.9),(23 1885685),(24 1901775),(25 1910338.4),(26 1918692.5),(27 1920838.8),(28 1914421),(29 1904301.6),(30 1885176.1),(31 1853982.4),(32 1817646.4),(33 1780425),(34 1749643.8),(35 1708561),(36 1684374.4),(37 1658972.8),(38 1632430.8),(39 1602497.1),(40 1582413),(41 1551672.5),(42 1529093.3),(43 1509147.9),(44 1484915.3),(45 1460582),(46 1439235),(47 1414680.8),(48 1390329.6),(49 1374676.6),(50 1358299.4),(51 1350260.5),(52 1340362.1),(53 1339785),(54 1340071),(55 1342288.8),(56 1343912.8),(57 1343545.9),(58 1343840.6),(59 1340631),(60 1341967),(61 1347398.3),(62 1357643),(63 1365240.8),(64 1370073),(65 1383826.3),(66 1403979.5),(67 1429812.1),(68 1470632.8),(69 1515069),(70 1554212.8),(71 1615382.9),(72 1675297.5),(73 1745581),(74 1818279.8),(75 1899313),(76 1969460.8),(77 2049525.9),(78 2139044.5),(79 2229538),
(1 17716.438),(2 58175.105),(3 114442.4),(4 174241.94),(5 248084.53),(6 332847.66),(7 428805.53),(8 531542.7),(9 637101.1),(10 730055.56),(11 835791.25),(12 941298.56),(13 1047420),(14 1146474.5),(15 1238156.3),(16 1314371.5),(17 1391343.5),(18 1459917.5),(19 1524858.3),(20 1581834.5),(21 1623726.6),(22 1652875.1),(23 1678111.8),(24 1693821.1),(25 1702458.6),(26 1710262.5),(27 1717780.4),(28 1716858.4),(29 1717089.4),(30 1714243),(31 1700118.1),(32 1684841.5),(33 1666095.5),(34 1651677.3),(35 1636635.6),(36 1624109.5),(37 1605143.1),(38 1585072.9),(39 1563051),(40 1548903.1),(41 1527560),(42 1516545.3),(43 1509600.5),(44 1502501.4),(45 1493938.6),(46 1487940),(47 1483024.5),(48 1481169.5),(49 1480205.4),(50 1484236),(51 1485775.6),(52 1486330.6),(53 1491726),(54 1496471.4),(55 1505279.5),(56 1506589.4),(57 1508685.5),(58 1513760),(59 1518355.5),(60 1528623.8),(61 1541658.4),(62 1561915.4),(63 1575236),(64 1584787.9),(65 1601648.3),(66 1630787.4),(67 1661345.3),(68 1703897),(69 1748739.8),(70 1789237.1),(71 1839901.4),(72 1892994.9),(73 1954595.1),(74 2009134.6),(75 2066211.1),(76 2115581.5),(77 2159261),(78 2208096.3),(79 2253966.3),
(1 15065.684),(2 46684.402),(3 89537.4),(4 131913.77),(5 180138.22),(6 231400.14),(7 290187.75),(8 354034.38),(9 422642.44),(10 482311.97),(11 552788.4),(12 620498.4),(13 692592.8),(14 760663.5),(15 824008.5),(16 878312.8),(17 931466.5),(18 984349.06),(19 1037671.06),(20 1090421.3),(21 1136815.8),(22 1170822.1),(23 1203750.4),(24 1233161),(25 1258084.8),(26 1280113.3),(27 1302288.4),(28 1314750.9),(29 1332272.5),(30 1347067.5),(31 1361756.5),(32 1371406.6),(33 1385904.5),(34 1396774.6),(35 1422783.3),(36 1449517.1),(37 1469761),(38 1497929.5),(39 1529732.3),(40 1562305.9),(41 1596599),(42 1636981),(43 1672357.1),(44 1702198.4),(45 1728173.4),(46 1761132.1),(47 1780549.9),(48 1792947.5),(49 1801655.5),(50 1801973),(51 1798482.6),(52 1797670.1),(53 1794537.4),(54 1788732.3),(55 1784681),(56 1772444.5),(57 1755762.9),(58 1736755.1),(59 1713673.5),(60 1688502.6),(61 1657793.4),(62 1627335),(63 1590377.4),(64 1551482.6),(65 1516197.4),(66 1490145.8),(67 1463829.1),(68 1444296.3),(69 1437187),(70 1428247.1),(71 1430657.4),(72 1433938.5),(73 1441674.4),(74 1448686.1),(75 1460423.8),(76 1467130.4),(77 1468448.6),(78 1474129),(79 1483549.1),
