1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 59603.02),(2 220218.45),(3 482524.53),(4 810589.94),(5 1223395.8),(6 1710098.1),(7 2232981.8),(8 2780338.5),(9 3345013.3),(10 3957160.8),(11 4539964.5),(12 5121852),(13 5791865.5),(14 6552245.5),(15 7515230.5),(16 8751377),(17 10304687),(18 12244029),(19 14605285),(20 17382228),(21 20641464),(22 24442336),(23 28694118),(24 33406538),(25 38512784),(26 43820510),(27 49092436),(28 54078188),(29 59290636),(30 64828384),(31 70811830),(32 77003640),(33 83278344),(34 88723300),(35 93428470),(36 97508904),(37 101108220),(38 104493270),(39 107308136),(40 109608060),(41 111476740),(42 112928090),(43 113846970),(44 114120810),(45 113923260),(46 112810470),(47 111214184),(48 109220760),(49 106928220),(50 104427750),(51 101631160),(52 98683736),(53 95427680),(54 91731370),(55 88633896),(56 85490470),(57 82615200),(58 79976360),(59 77582620),(60 75445064),(61 73653050),(62 72545350),(63 71405896),(64 70319320),(65 69583110),(66 69047880),(67 68811970),(68 69166140),(69 69705620),(70 70720890),(71 72174320),(72 73879940),(73 75704370),(74 77410650),(75 79227576),(76 80962470),(77 82461690),(78 83953850),(79 85475384),
(1 97072.125),(2 375967.2),(3 822609),(4 1412115.3),(5 2140265.8),(6 2988417.8),(7 3934288.8),(8 4930554.5),(9 5954187),(10 7043722.5),(11 8141580),(12 9245368),(13 10421459),(14 11609318),(15 12820418),(16 14129323),(17 15546293),(18 17235318),(19 19149048),(20 21262064),(21 23681942),(22 26385994),(23 29291668),(24 32502458),(25 35899920),(26 39538532),(27 43065844),(28 46439264),(29 49913470),(30 53565120),(31 57278028),(32 61101804),(33 64840504),(34 68277100),(35 71350180),(36 74242740),(37 76772070),(38 79111960),(39 81161290),(40 83022740),(41 84709650),(42 86245460),(43 87446936),(44 88369740),(45 89049416),(46 89388990),(47 89446310),(48 89364100),(49 89236690),(50 89007760),(51 88583230),(52 87972780),(53 86989096),(54 85917610),(55 84995540),(56 84025576),(57 83272930),(58 82521170),(59 81808730),(60 81193970),(61 80452700),(62 79772590),(63 79011180),(64 78136824),(65 77367140),(66 76659400),(67 76070440),(68 75694810),(69 75479300),(70 75534990),(71 75795240),(72 76222640),(73 76846080),(74 77442930),(75 78279850),(76 79138260),(77 79991464),(78 80970320),(79 82097040),
(1 155553.39),(2 606507.2),(3 1325806.3),(4 2278706),(5 3476926),(6 4863452),(7 6406282.5),(8 8085113.5),(9 9825019),(10 11619435),(11 13436903),(12 15220333),(13 16979734),(14 18644816),(15 20235554),(16 21798000),(17 23410296),(18 25140600),(19 26914608),(20 28825720),(21 30877546),(22 33133026),(23 35600300),(24 38199220),(25 40991360),(26 43937230),(27 46727970),(28 49233230),(29 51809216),(30 54501950),(31 57262324),(32 60192190),(33 63136370),(34 65963924),(35 68676376),(36 71370904),(37 73869380),(38 76267960),(39 78379510),(40 80358136),(41 82149270),(42 83716890),(43 84940230),(44 85837750),(45 86336840),(46 86523896),(47 86399160),(48 86092150),(49 85883840),(50 85630424),(51 85257224),(52 84660810),(53 83856280),(54 82771160),(55 81674200),(56 80503720),(57 79468260),(58 78575464),(59 77635470),(60 76795310),(61 75887944),(62 74985400),(63 74176744),(64 73294660),(65 72478616),(66 71770776),(67 71145016),(68 70694280),(69 70419130),(70 70372480),(71 70543784),(72 70955830),(73 71616040),(74 72479750),(75 73631730),(76 74936650),(77 76465570),(78 78069464),(79 79788090),
(1 209236.92),(2 829783.7),(3 1837804.5),(4 3185533.3),(5 4914289.5),(6 6939426),(7 9187280),(8 11610828),(9 14114380),(10 16692288),(11 19360058),(12 22048324),(13 24756522),(14 27415776),(15 30078088),(16 32674660),(17 35271690),(18 37983896),(19 40617984),(20 43156844),(21 45610296),(22 47899070),(23 49955000),(24 51789390),(25 53517716),(26 55050336),(27 56164556),(28 56882960),(29 57473064),(30 57950910),(31 58336890),(32 58559492),(33 58718452),(34 58666228),(35 58633470),(36 58836196),(37 59327700),(38 59953252),(39 60770604),(40 61751508),(41 62891556),(42 64206344),(43 65615120),(44 67098268),(45 68644290),(46 70275940),(47 71906550),(48 73587460),(49 75345140),(50 77172200),(51 78950600),(52 80681070),(53 82312230),(54 83697010),(55 84912630),(56 85813944),(57 86391000),(58 86641740),(59 86433820),(60 85810984),(61 84753940),(62 83388130),(63 81677736),(64 79649660),(65 77425610),(66 75002050),(67 72368100),(68 69656620),(69 66934600),(70 64231252),(71 61627564),(72 59186256),(73 57009004),(74 55088740),(75 53484416),(76 52206584),(77 51315144),(78 50763028),(79 50543860),
(1 223189),(2 886283.56),(3 1957417.9),(4 3416038.3),(5 5277189),(6 7465027),(7 9895951),(8 12497804),(9 15145751),(10 17858104),(11 20631544),(12 23405520),(13 26234978),(14 29086718),(15 32047576),(16 35077020),(17 38191028),(18 41554600),(19 44948420),(20 48317710),(21 51621990),(22 54809616),(23 57803492),(24 60454080),(25 62891044),(26 64960550),(27 66656216),(28 67944590),(29 68909416),(30 69489060),(31 69749770),(32 69474180),(33 68915100),(34 67890400),(35 66596544),(36 65191164),(37 63772044),(38 62250228),(39 60752316),(40 59292812),(41 57935664),(42 56711310),(43 55690556),(44 54840360),(45 54230468),(46 53892990),(47 53751896),(48 53868708),(49 54227932),(50 54861748),(51 55742052),(52 56814016),(53 58204416),(54 59701212),(55 61303960),(56 62905690),(57 64497770),(58 66006384),(59 67257850),(60 68158770),(61 68719900),(62 68884350),(63 68690360),(64 68199190),(65 67367430),(66 66257156),(67 64784616),(68 63113520),(69 61226724),(70 59188264),(71 57001010),(72 54830590),(73 52675556),(74 50575812),(75 48523176),(76 46656536),(77 44920060),(78 43353404),(79 41946730),
(1 231967.05),(2 904554),(3 1974738.8),(4 3402534),(5 5156001),(6 7145741),(7 9271846),(8 11441944),(9 13583800),(10 15666749),(11 17637150),(12 19484426),(13 21223364),(14 22818508),(15 24361350),(16 25884830),(17 27421350),(18 29083190),(19 30804330),(20 32577616),(21 34411676),(22 36253100),(23 38117076),(24 39935216),(25 41721876),(26 43416064),(27 45127976),(28 46825900),(29 48408744),(30 49808520),(31 50999092),(32 51815130),(33 52343880),(34 52780890),(35 53143136),(36 53413210),(37 53495370),(38 53314070),(39 52893996),(40 52311870),(41 51570536),(42 50704250),(43 49762468),(44 48696170),(45 47533784),(46 46352724),(47 45122804),(48 43874336),(49 42635560),(50 41397190),(51 40203360),(52 39124056),(53 38202504),(54 37369090),(55 36678430),(56 36070344),(57 35545396),(58 35131476),(59 34827892),(60 34681320),(61 34640330),(62 34670040),(63 34781210),(64 34995820),(65 35199452),(66 35479532),(67 35754652),(68 36121236),(69 36421836),(70 36735840),(71 37019284),(72 37353816),(73 37626124),(74 37828990),(75 38002310),(76 38160268),(77 38232450),(78 38268244),(79 38249484),
(1 224965.17),(2 874124.1),(3 1888973.1),(4 3180325.5),(5 4683348.5),(6 6306815),(7 7950423),(8 9559323),(9 11081511),(10 12491585),(11 13760559),(12 14901882),(13 15936721),(14 16864578),(15 17707798),(16 18515646),(17 19313212),(18 20031948),(19 20723840),(20 21445192),(21 22226422),(22 23048750),(23 23992342),(24 24955614),(25 25979698),(26 27023118),(27 28135204),(28 29350496),(29 30624024),(30 31938226),(31 33279424),(32 34620384),(33 35999068),(34 37444770),(35 38849770),(36 40261236),(37 41446190),(38 42372656),(39 43122492),(40 43686276),(41 44069296),(42 44241020),(43 44263804),(44 44104496),(45 43774570),(46 43317932),(47 42711572),(48 41983388),(49 41121870),(50 40165380),(51 39152100),(52 38178372),(53 37339150),(54 36519690),(55 35774256),(56 35060070),(57 34358690),(58 33685220),(59 33071178),(60 32534400),(61 32055214),(62 31624834),(63 31208874),(64 30867672),(65 30552738),(66 30316100),(67 30182646),(68 30181662),(69 30254692),(70 30414036),(71 30660780),(72 30953674),(73 31293526),(74 31624310),(75 31996670),(76 32324692),(77 32650206),(78 32973656),(79 33304238),
(1 207268.95),(2 795509.6),(3 1708739.4),(4 2846474.5),(5 4132586.5),(6 5504784),(7 6889446),(8 8255345.5),(9 9539652),(10 10763179),(11 11947853),(12 13095285),(13 14223770),(14 15300654),(15 16328511),(16 17264324),(17 18104264),(18 18812590),(19 19367482),(20 19837838),(21 20246052),(22 20613682),(23 20951580),(24 21200764),(25 21356562),(26 21418540),(27 21372716),(28 21216154),(29 21030370),(30 20856916),(31 20683310),(32 20544244),(33 20510984),(34 20573208),(35 20731930),(36 21023334),(37 21330602),(38 21537888),(39 21763054),(40 22006826),(41 22305702),(42 22645598),(43 23037336),(44 23476374),(45 23943446),(46 24456564),(47 25004738),(48 25561394),(49 26106394),(50 26597128),(51 27000196),(52 27347202),(53 27656792),(54 27921346),(55 28132654),(56 28222686),(57 28201736),(58 28058414),(59 27791668),(60 27411754),(61 26892696),(62 26203426),(63 25390872),(64 24487992),(65 23510268),(66 22525270),(67 21576108),(68 20699180),(69 19913850),(70 19232792),(71 18681976),(72 18278342),(73 18029052),(74 17900924),(75 17867324),(76 17881976),(77 17970678),(78 18122564),(79 18316234),
(1 208242.61),(2 808604),(3 1748638.5),(4 2889806.8),(5 4158036.3),(6 5475234),(7 6815222.5),(8 8148283.5),(9 9488635),(10 10825668),(11 12086546),(12 13313951),(13 14512845),(14 15672460),(15 16843438),(16 17948820),(17 18921788),(18 19718084),(19 20310984),(20 20782422),(21 21173194),(22 21478636),(23 21710130),(24 21821984),(25 21812638),(26 21691066),(27 21484032),(28 21223660),(29 20910132),(30 20560118),(31 20213500),(32 19867184),(33 19600784),(34 19459764),(35 19426206),(36 19449118),(37 19543024),(38 19728702),(39 20022134),(40 20440760),(41 20955280),(42 21543232),(43 22142418),(44 22705948),(45 23197660),(46 23600814),(47 23948702),(48 24289902),(49 24678494),(50 25091394),(51 25524034),(52 25961152),(53 26400260),(54 26809584),(55 27192998),(56 27503276),(57 27756906),(58 27983190),(59 28111048),(60 28162422),(61 28082150),(62 27863586),(63 27535796),(64 27098528),(65 26596800),(66 26055866),(67 25507166),(68 24989232),(69 24455114),(70 23929600),(71 23413986),(72 22887826),(73 22368048),(74 21841940),(75 21285592),(76 20670758),(77 20070358),(78 19478082),(79 18931712),
(1 192265.69),(2 730053.9),(3 1524247.9),(4 2447153),(5 3391543.5),(6 4295178),(7 5140360.5),(8 5942957.5),(9 6737004.5),(10 7539597.5),(11 8284404.5),(12 8979448),(13 9637041),(14 10214215),(15 10783755),(16 11341252),(17 11851912),(18 12272513),(19 12639429),(20 13021568),(21 13440082),(22 13920316),(23 14422581),(24 14914457),(25 15330368),(26 15615861),(27 15783179),(28 15916210),(29 16063303),(30 16204917),(31 16365861),(32 16515899),(33 16650066),(34 16746167),(35 16796498),(36 16838118),(37 16825688),(38 16865834),(39 17014476),(40 17325892),(41 17767260),(42 18298360),(43 18852662),(44 19380746),(45 19836164),(46 20202758),(47 20488528),(48 20716234),(49 20861992),(50 20899658),(51 20869128),(52 20701552),(53 20565100),(54 20467638),(55 20430488),(56 20441936),(57 20439164),(58 20457582),(59 20402130),(60 20251894),(61 20029250),(62 19730194),(63 19372528),(64 18997664),(65 18661706),(66 18377558),(67 18155686),(68 17992720),(69 17843858),(70 17706902),(71 17537390),(72 17349002),(73 17118820),(74 16854130),(75 16503920),(76 16067104),(77 15567913),(78 15025074),(79 14496071),
(1 232082.02),(2 869989.8),(3 1800396.8),(4 2854814),(5 3930882),(6 4940446.5),(7 5872729.5),(8 6732290),(9 7562945),(10 8379708),(11 9192175),(12 10011467),(13 10836650),(14 11618761),(15 12325022),(16 12950865),(17 13528564),(18 14043727),(19 14495634),(20 14934865),(21 15401905),(22 15956708),(23 16578927),(24 17204822),(25 17800810),(26 18283504),(27 18636756),(28 18848138),(29 18978960),(30 19092476),(31 19243494),(32 19500460),(33 19818440),(34 20135530),(35 20340088),(36 20410038),(37 20271872),(38 19928282),(39 19417616),(40 18864412),(41 18315752),(42 17839848),(43 17452138),(44 17183650),(45 17031578),(46 16984742),(47 17013892),(48 17085014),(49 17189520),(50 17202448),(51 17115800),(52 16826700),(53 16383750),(54 15813278),(55 15213691),(56 14659159),(57 14194577),(58 13840616),(59 13603748),(60 13446761),(61 13330202),(62 13230797),(63 13118018),(64 13024333),(65 12967768),(66 12974307),(67 13056389),(68 13217832),(69 13446674),(70 13724945),(71 14027517),(72 14318818),(73 14592585),(74 14799138),(75 14872439),(76 14802933),(77 14576991),(78 14216062),(79 13769531),
