1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 453593.25),(2 1591135.1),(3 3317474.3),(4 5644141.5),(5 8417575),(6 11717877),(7 15351061),(8 19205230),(9 23209304),(10 27156518),(11 31499720),(12 35610796),(13 39970770),(14 44477184),(15 48701388),(16 52647756),(17 56476610),(18 60264960),(19 63939650),(20 67641736),(21 71085920),(22 74353590),(23 77727304),(24 81231736),(25 85000620),(26 89240376),(27 94219416),(28 99013530),(29 104313830),(30 109703140),(31 116112360),(32 123591580),(33 131618920),(34 140191890),(35 149294160),(36 158712590),(37 168343490),(38 177932400),(39 186844110),(40 194608240),(41 201282580),(42 206981040),(43 211908910),(44 216159660),(45 219708340),(46 223269890),(47 227097490),(48 230824400),(49 235103180),(50 239312380),(51 244247800),(52 249795090),(53 254302260),(54 257929140),(55 260622930),(56 262585170),(57 263679820),(58 263095540),(59 261722480),(60 259762640),(61 257535250),(62 255011650),(63 252238460),(64 249709060),(65 247436340),(66 245808700),(67 243893890),(68 241992450),(69 239620480),(70 237287950),(71 235562580),(72 233678400),(73 231820400),(74 230175660),(75 229077200),(76 228173200),(77 227662850),(78 227998670),(79 229087540),
(1 556301.1),(2 2106954.8),(3 4579850.5),(4 7900013),(5 12128579),(6 17407396),(7 23518754),(8 30318614),(9 37888410),(10 46077004),(11 55107252),(12 64261096),(13 74008620),(14 84479810),(15 95399550),(16 106465660),(17 117569040),(18 128123260),(19 138097800),(20 147712300),(21 157022430),(22 165677540),(23 174391180),(24 182427140),(25 189380060),(26 196067630),(27 202135070),(28 207287800),(29 211840750),(30 215522460),(31 218475000),(32 220765020),(33 223131360),(34 225072690),(35 226883460),(36 228737840),(37 230696320),(38 232716750),(39 234399580),(40 234972620),(41 235256270),(42 235210460),(43 234451360),(44 233160800),(45 232063740),(46 231953800),(47 233055460),(48 235235620),(49 238567420),(50 243505310),(51 250297680),(52 258685800),(53 266020430),(54 272181400),(55 278230980),(56 283845820),(57 289018430),(58 293032200),(59 295680500),(60 297983170),(61 300609380),(62 304071040),(63 307767740),(64 311864350),(65 316562460),(66 321078940),(67 324018000),(68 326578430),(69 328246500),(70 329011000),(71 329207500),(72 328612670),(73 326732600),(74 325138000),(75 323603360),(76 322172540),(77 320505250),(78 318644860),(79 316813500),
(1 575549.06),(2 2179237.3),(3 4657527.5),(4 7895658.5),(5 11955412),(6 16832146),(7 22486048),(8 28840674),(9 35824132),(10 43332452),(11 52073536),(12 61555756),(13 71808250),(14 82873090),(15 94536860),(16 106427110),(17 118683290),(18 130829080),(19 143090700),(20 155395820),(21 167957460),(22 180552830),(23 192834260),(24 204770510),(25 215933380),(26 226755970),(27 236893520),(28 246191550),(29 254417150),(30 261324180),(31 267131470),(32 271876480),(33 276117900),(34 279505250),(35 282023700),(36 283639260),(37 284452640),(38 285358880),(39 285888670),(40 285692060),(41 285092350),(42 284648200),(43 284224860),(44 283639700),(45 283603420),(46 284360200),(47 285179940),(48 285682080),(49 285975800),(50 286598600),(51 287570940),(52 288457600),(53 288502240),(54 288080900),(55 287431330),(56 286369540),(57 285641150),(58 285064200),(59 284515840),(60 284421920),(61 284863970),(62 286063840),(63 287322800),(64 288231580),(65 288998880),(66 289616600),(67 289548000),(68 289775260),(69 290562530),(70 291368420),(71 292049380),(72 292884900),(73 293322780),(74 294418270),(75 295523040),(76 296740220),(77 297767000),(78 298316220),(79 298781150),
(1 645034.5),(2 2479153.3),(3 5266618.5),(4 8892848),(5 13301726),(6 18357198),(7 23700658),(8 29204168),(9 34830344),(10 40573060),(11 46256320),(12 52228944),(13 58280028),(14 64420224),(15 71128070),(16 78040504),(17 85640720),(18 93808590),(19 102506856),(20 111501400),(21 120907210),(22 130639970),(23 140543580),(24 150867360),(25 161483180),(26 172050200),(27 182518850),(28 192475540),(29 202092350),(30 211137060),(31 219919170),(32 228858080),(33 237716960),(34 246171060),(35 254142180),(36 261292210),(37 267792270),(38 274399870),(39 280392420),(40 285815520),(41 290764960),(42 295077020),(43 298680260),(44 301549860),(45 304102340),(46 306156260),(47 307411900),(48 308122050),(49 308355070),(50 308176500),(51 307383460),(52 305784900),(53 303840200),(54 301292930),(55 297938660),(56 294314560),(57 290767520),(58 287063870),(59 283171700),(60 279353200),(61 275129250),(62 271135870),(63 267400480),(64 263820740),(65 260576140),(66 257625600),(67 254812780),(68 252348670),(69 250698690),(70 248969440),(71 247223040),(72 245528210),(73 244103230),(74 243081000),(75 241901120),(76 241142050),(77 240385500),(78 239334480),(79 238334940),
(1 583782.25),(2 2158029),(3 4515627),(4 7566878),(5 11202639),(6 15221196),(7 19457698),(8 23843536),(9 28406470),(10 32998510),(11 37563156),(12 42282284),(13 46920380),(14 51470324),(15 56078416),(16 60522268),(17 64842024),(18 69130990),(19 73310200),(20 77145250),(21 80670696),(22 83856500),(23 86614710),(24 89120800),(25 91397460),(26 93211736),(27 94839190),(28 96055736),(29 97109830),(30 98015540),(31 98584910),(32 99197880),(33 99725090),(34 100103680),(35 100418530),(36 100855370),(37 101570536),(38 102504140),(39 103734370),(40 105176220),(41 106933370),(42 108907320),(43 111062710),(44 113599840),(45 116311656),(46 119078904),(47 121925680),(48 124788936),(49 127871816),(50 131126216),(51 134328060),(52 137315520),(53 140422300),(54 143539600),(55 146375620),(56 148831330),(57 151322770),(58 153852050),(59 156180690),(60 158492270),(61 160451580),(62 162430260),(63 164206350),(64 165984940),(65 167778450),(66 169530380),(67 171107660),(68 172713330),(69 174775200),(70 176565400),(71 178240830),(72 179681420),(73 181042940),(74 182401010),(75 183363890),(76 184220180),(77 184782600),(78 184905840),(79 184770900),
(1 783684.3),(2 3008962),(3 6535242.5),(4 11132369),(5 16699637),(6 22808060),(7 29352756),(8 36007704),(9 42655144),(10 49244564),(11 55691852),(12 61986984),(13 68053840),(14 73881140),(15 79619336),(16 85161110),(17 90487490),(18 95444020),(19 100114330),(20 104449490),(21 108188136),(22 111665410),(23 114554800),(24 117218090),(25 119820160),(26 122073070),(27 124148530),(28 125774460),(29 127011560),(30 127724400),(31 127951810),(32 128025550),(33 128147140),(34 127920260),(35 127481710),(36 126972750),(37 126428750),(38 125598080),(39 124414260),(40 122659780),(41 120558744),(42 118352380),(43 115960590),(44 113462680),(45 111098240),(46 108756740),(47 106621330),(48 104658670),(49 102995624),(50 101830450),(51 101150390),(52 100702680),(53 100351500),(54 100228910),(55 100640980),(56 101360000),(57 102207680),(58 103181490),(59 104605020),(60 106668980),(61 109353260),(62 112435990),(63 115720640),(64 119400270),(65 123148220),(66 127072270),(67 131051010),(68 134650400),(69 137942430),(70 140911790),(71 143967940),(72 146858140),(73 149554140),(74 152249730),(75 155144100),(76 158144940),(77 160665780),(78 162919860),(79 165169860),
(1 629396.8),(2 2393849),(3 5069895.5),(4 8464404),(5 12399995),(6 16715547),(7 21259948),(8 25894282),(9 30643534),(10 35460790),(11 40222700),(12 45171570),(13 50054588),(14 54941028),(15 59918930),(16 64796104),(17 69521224),(18 73912744),(19 78046430),(20 81991750),(21 85676720),(22 89099510),(23 92258424),(24 95324840),(25 98049550),(26 100512560),(27 102719890),(28 104361016),(29 105571680),(30 106075010),(31 105985336),(32 105491064),(33 104484390),(34 102887920),(35 100882504),(36 98754650),(37 96604020),(38 94493360),(39 92529976),(40 90813690),(41 89370584),(42 88235640),(43 87469360),(44 86988910),(45 86753360),(46 86597620),(47 86596296),(48 86735820),(49 86987250),(50 87286530),(51 87441820),(52 87391050),(53 87091160),(54 86637256),(55 86327864),(56 86136230),(57 85808000),(58 85442856),(59 84906890),(60 84291700),(61 83646424),(62 83105660),(63 82515620),(64 81764240),(65 80979576),(66 80044510),(67 78840580),(68 77460890),(69 75832680),(70 74158500),(71 72567180),(72 71176040),(73 70113150),(74 69210060),(75 68692430),(76 68373720),(77 68131720),(78 68138860),(79 68303660),
(1 576856.6),(2 2105846.3),(3 4341452.5),(4 7144714.5),(5 10338587),(6 13728516),(7 17204442),(8 20532628),(9 23776780),(10 26913886),(11 29696820),(12 32528300),(13 35294140),(14 37895108),(15 40624940),(16 43333652),(17 45944904),(18 48407636),(19 50704750),(20 52759132),(21 54496212),(22 55832270),(23 56546030),(24 56889744),(25 56904456),(26 56559320),(27 56011268),(28 54948748),(29 53660390),(30 52059056),(31 50251940),(32 48277990),(33 46295452),(34 44280780),(35 42485110),(36 40973384),(37 39790268),(38 39026160),(39 38667188),(40 38578736),(41 38861268),(42 39530610),(43 40414252),(44 41464550),(45 42716860),(46 44224724),(47 45779204),(48 47190550),(49 48396690),(50 49449212),(51 50363772),(52 51296776),(53 52150630),(54 52854656),(55 53651668),(56 54318360),(57 54943692),(58 55341310),(59 55629772),(60 55714092),(61 55559452),(62 55251364),(63 54830696),(64 54439816),(65 53998280),(66 53627084),(67 53477770),(68 53506410),(69 53792650),(70 54265508),(71 54911940),(72 55739988),(73 56695320),(74 57714610),(75 58739920),(76 59404330),(77 59530204),(78 59420084),(79 58995148),
(1 537088.5),(2 1972419.3),(3 4075697),(4 6734751),(5 9823452),(6 13039691),(7 16292621),(8 19465914),(9 22556988),(10 25406178),(11 27822494),(12 29961298),(13 31723588),(14 33092428),(15 34230620),(16 35126440),(17 35697664),(18 35970610),(19 35963110),(20 35789490),(21 35515828),(22 35242400),(23 34907290),(24 34564680),(25 34260132),(26 33994560),(27 33760932),(28 33406848),(29 32967604),(30 32471996),(31 31993084),(32 31561680),(33 31040922),(34 30387566),(35 29664100),(36 28967444),(37 28336550),(38 27793920),(39 27385918),(40 27267460),(41 27463450),(42 27965418),(43 28706442),(44 29711632),(45 30944604),(46 32362488),(47 33800160),(48 35265692),(49 36824852),(50 38386184),(51 39883916),(52 41359524),(53 42597628),(54 43695984),(55 44819256),(56 45813010),(57 46815124),(58 47668516),(59 48328470),(60 48942690),(61 49433150),(62 49882136),(63 50230240),(64 50572464),(65 50854010),(66 51214364),(67 51556696),(68 51923460),(69 52335160),(70 52691132),(71 52809344),(72 52823988),(73 52865956),(74 52819296),(75 52544452),(76 51988736),(77 51223380),(78 50320164),(79 49166420),
(1 527585),(2 1963928),(3 4081106.8),(4 6571779.5),(5 9358170),(6 12283675),(7 15166699),(8 17984636),(9 20625128),(10 23123414),(11 25453230),(12 27563032),(13 29524696),(14 31349064),(15 32962588),(16 34288710),(17 35363076),(18 36272890),(19 36972990),(20 37532732),(21 37979310),(22 38359980),(23 38714140),(24 38962310),(25 39188644),(26 39381468),(27 39459590),(28 39527108),(29 39678736),(30 39813804),(31 39899004),(32 39970530),(33 39931076),(34 39771476),(35 39381092),(36 38973924),(37 38599416),(38 38243180),(39 37942716),(40 37801840),(41 37768100),(42 37889616),(43 38121010),(44 38432330),(45 38715630),(46 39009744),(47 39249930),(48 39500784),(49 39743310),(50 39884050),(51 39827492),(52 39644508),(53 39355776),(54 39031310),(55 38700628),(56 38454704),(57 38333164),(58 38361020),(59 38465310),(60 38736850),(61 39020710),(62 39380868),(63 39816656),(64 40310890),(65 40760050),(66 41215790),(67 41645480),(68 41968010),(69 42257836),(70 42403164),(71 42452670),(72 42429264),(73 42246130),(74 41953096),(75 41516756),(76 41012880),(77 40404300),(78 39735056),(79 38944804),
(1 641830.9),(2 2343204.3),(3 4804745.5),(4 7829974),(5 11156177),(6 14500348),(7 17854368),(8 21076994),(9 24188638),(10 27217212),(11 29990864),(12 32698474),(13 35309428),(14 37659996),(15 39626548),(16 41195200),(17 42500630),(18 43441810),(19 44089850),(20 44421816),(21 44696284),(22 44949812),(23 45020892),(24 45027120),(25 44905740),(26 44750290),(27 44528708),(28 44430064),(29 44523428),(30 44592410),(31 44623148),(32 44668504),(33 44604704),(34 44535564),(35 44351070),(36 44158124),(37 43911868),(38 43638560),(39 43350030),(40 43009676),(41 42581076),(42 42149876),(43 41683944),(44 41192284),(45 40687416),(46 40166564),(47 39576404),(48 38954276),(49 38178624),(50 37198150),(51 36025960),(52 34819450),(53 33670940),(54 32656918),(55 31644480),(56 30742316),(57 29987454),(58 29388608),(59 28905868),(60 28560556),(61 28418018),(62 28483658),(63 28625530),(64 28772272),(65 28864734),(66 29059624),(67 29398390),(68 29713224),(69 29958012),(70 30160996),(71 30352132),(72 30342250),(73 30167680),(74 29959196),(75 29790150),(76 29616820),(77 29559542),(78 29652284),(79 29908370),
