1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17147.781),(2 28954.354),(3 48880.12),(4 58710.277),(5 77543.81),(6 86500.73),(7 102273.27),(8 110336.29),(9 144629.89),(10 170707.08),(11 239090.55),(12 368237.1),(13 572599.44),(14 1020653.2),(15 1650441.9),(16 2452008.8),(17 3589118),(18 4977635.5),(19 7205128),(20 9989369),(21 13355836),(22 17394110),(23 22938318),(24 28414168),(25 35480572),(26 43624916),(27 53931924),(28 64266210),(29 75501160),(30 88963280),(31 104009540),(32 120767300),(33 139048300),(34 156086130),(35 175136110),(36 195126960),(37 217606060),(38 240629250),(39 264226190),(40 287884700),(41 312899100),(42 335661600),(43 359796000),(44 384213860),(45 409987600),(46 433977100),(47 460212000),(48 483493000),(49 508652450),(50 531242500),(51 551842400),(52 570388900),(53 590436350),(54 606236900),(55 621122050),(56 635748160),(57 650941200),(58 663730600),(59 675508000),(60 687503400),(61 696943360),(62 702208200),(63 708283000),(64 713074750),(65 719956800),(66 724559900),(67 728519360),(68 727407170),(69 726306050),(70 726349060),(71 726939140),(72 728579650),(73 729927600),(74 727960000),(75 725479100),(76 721033540),(77 717418200),(78 713091140),(79 710151360),
(1 7448.2354),(2 12860.2295),(3 20638.309),(4 28530.656),(5 39355.367),(6 49994.65),(7 63839.895),(8 74266.63),(9 91210.52),(10 117193.6),(11 183993.03),(12 293959.4),(13 468316.1),(14 778700.4),(15 1199979),(16 1767304.4),(17 2452054.8),(18 3349584),(19 4630554),(20 6228900),(21 8029278.5),(22 10080539),(23 12788490),(24 15322522),(25 18759376),(26 22469686),(27 26731532),(28 30834554),(29 34938332),(30 39947692),(31 45069784),(32 50245372),(33 55444344),(34 59902156),(35 64029524),(36 68170776),(37 72334980),(38 75678570),(39 78975736),(40 81930940),(41 84671820),(42 86879540),(43 88234584),(44 89271590),(45 90052970),(46 89756970),(47 89206220),(48 88304216),(49 86879290),(50 85269700),(51 83445580),(52 81106330),(53 78602420),(54 75881020),(55 72995320),(56 70529016),(57 67991040),(58 65375828),(59 63427820),(60 61593510),(61 59927616),(62 58176724),(63 56104000),(64 54586624),(65 53279950),(66 52597324),(67 52448052),(68 52630380),(69 53299908),(70 53823544),(71 54194816),(72 54846530),(73 55842250),(74 56781944),(75 58092330),(76 60003970),(77 61487628),(78 62924330),(79 63983776),
(1 6048.768),(2 12509.5),(3 19662.752),(4 29144.74),(5 39819.598),(6 51253.063),(7 65175.28),(8 76224.26),(9 92272.74),(10 117024.35),(11 160128.64),(12 227302.45),(13 328410.88),(14 513107.34),(15 775602.06),(16 1128584),(17 1547293),(18 2090417.4),(19 2809132),(20 3623098.8),(21 4620385.5),(22 5760217.5),(23 7127590),(24 8453113),(25 10095539),(26 11769160),(27 13452933),(28 14900984),(29 16203364),(30 17536962),(31 18779274),(32 19919520),(33 20863082),(34 21716142),(35 22150442),(36 22383494),(37 22543712),(38 22606392),(39 22769584),(40 23068222),(41 23333006),(42 23712384),(43 24145840),(44 24496032),(45 24861952),(46 25249150),(47 25825296),(48 26571546),(49 27213994),(50 28015638),(51 28852120),(52 29718330),(53 30161430),(54 30147638),(55 30374200),(56 30834720),(57 31509982),(58 32425850),(59 33306730),(60 34354750),(61 35367276),(62 36057804),(63 36891420),(64 37692324),(65 38547700),(66 39565884),(67 40383470),(68 41098148),(69 41892044),(70 42587812),(71 43563330),(72 44177516),(73 45040290),(74 46340020),(75 48249580),(76 50430932),(77 52351764),(78 54517410),(79 56256940),
(1 4497.3716),(2 8503.099),(3 12986.302),(4 18158.414),(5 23009.066),(6 28535.04),(7 35169.89),(8 42871.848),(9 53759.348),(10 74521.79),(11 103306.945),(12 151273.31),(13 213426.42),(14 332009.1),(15 500650.88),(16 716216.56),(17 960486.44),(18 1289255.8),(19 1716964.9),(20 2203708.5),(21 2720913.8),(22 3267674.8),(23 3868107.5),(24 4452754.5),(25 5054813.5),(26 5693970.5),(27 6266362.5),(28 6800325.5),(29 7298038),(30 7838060.5),(31 8319273),(32 8632745),(33 9029723),(34 9365436),(35 9694816),(36 10149029),(37 10773966),(38 11424773),(39 11993769),(40 12616921),(41 13083846),(42 13609237),(43 14077406),(44 14552073),(45 14959006),(46 15191129),(47 15333401),(48 15549063),(49 15745931),(50 15994244),(51 16389550),(52 16635963),(53 16818648),(54 17039888),(55 17385458),(56 17708088),(57 18202624),(58 18603260),(59 18914178),(60 19303322),(61 19672726),(62 19901426),(63 20168016),(64 20411346),(65 20705234),(66 20989228),(67 21164160),(68 21442836),(69 21652970),(70 21646700),(71 21623032),(72 21626834),(73 21641564),(74 21743556),(75 21945800),(76 22202278),(77 22472032),(78 22559962),(79 22686026),
(1 4174.3784),(2 8067.445),(3 12728.884),(4 18729.588),(5 24892.713),(6 31292.25),(7 38388.33),(8 47304.04),(9 59588.285),(10 81236.88),(11 110793.875),(12 159586.8),(13 220630.81),(14 319394.75),(15 445208.6),(16 584225.25),(17 713451.5),(18 906378.4),(19 1144324.4),(20 1428650.4),(21 1744834.9),(22 2083871.6),(23 2410681),(24 2749393),(25 3105864.8),(26 3466262.5),(27 3734956.8),(28 4045959.3),(29 4383179),(30 4741563),(31 5071794),(32 5368265.5),(33 5745406),(34 6114497.5),(35 6530630.5),(36 7056627),(37 7504582.5),(38 7848153.5),(39 8206688),(40 8555359),(41 8859041),(42 9024039),(43 9222985),(44 9519082),(45 9823912),(46 9934147),(47 10191469),(48 10767295),(49 11113804),(50 11466217),(51 11841148),(52 12189179),(53 12459511),(54 12781716),(55 13108081),(56 13379388),(57 13402665),(58 13394828),(59 13712825),(60 14055123),(61 14454330),(62 14809705),(63 15053984),(64 15322167),(65 15719145),(66 16148576),(67 16442842),(68 16686490),(69 16771043),(70 16867358),(71 16752438),(72 16743904),(73 16584972),(74 16678425),(75 16822862),(76 16766339),(77 16830016),(78 17135564),(79 17563182),
(1 4827.0894),(2 9952.322),(3 15331.534),(4 23886.371),(5 32089.412),(6 42574.2),(7 52769.594),(8 63764.4),(9 79482.33),(10 101836.734),(11 133734.3),(12 184751.83),(13 246839.22),(14 331029.1),(15 443329.75),(16 561704.3),(17 699182.25),(18 922643.4),(19 1211407.6),(20 1558727),(21 1938077),(22 2291012.5),(23 2696644),(24 3122970.3),(25 3543198),(26 3922650.5),(27 4244219),(28 4648644.5),(29 5102929.5),(30 5495478.5),(31 5886833.5),(32 6351451),(33 6864832),(34 7282723),(35 7608894.5),(36 7879979),(37 8098597.5),(38 8299893.5),(39 8514864),(40 8839981),(41 9127104),(42 9333657),(43 9668859),(44 9865880),(45 10032880),(46 10154565),(47 10296192),(48 10557389),(49 10716969),(50 10838002),(51 10937335),(52 11114810),(53 11185806),(54 11197322),(55 11247133),(56 11300057),(57 11405840),(58 11511851),(59 11605728),(60 11902352),(61 12148096),(62 12252099),(63 12234062),(64 12301478),(65 12365396),(66 12634482),(67 12764754),(68 12676560),(69 12650765),(70 12621454),(71 12678878),(72 12856563),(73 12806882),(74 12841851),(75 12886102),(76 12862558),(77 12891434),(78 13048844),(79 13173802),
(1 4671.574),(2 9759.549),(3 15286.751),(4 22710.283),(5 31381.59),(6 42551.785),(7 52410.1),(8 62870.797),(9 76577.56),(10 96592.07),(11 122100.086),(12 164293.66),(13 214891.08),(14 281475.3),(15 360593.2),(16 453242.94),(17 571954.1),(18 746050.1),(19 954985.3),(20 1212665.6),(21 1480940),(22 1765110.8),(23 2028800.1),(24 2292241.5),(25 2501707.5),(26 2667675),(27 2818314.8),(28 3000087),(29 3184096),(30 3418761.3),(31 3777670.8),(32 4240433),(33 4697263),(34 5080936.5),(35 5562071),(36 6015901.5),(37 6409342),(38 6815720),(39 7139722),(40 7433874),(41 7692597),(42 7920622),(43 8158304.5),(44 8460094),(45 8847264),(46 9150098),(47 9451487),(48 9643139),(49 9909822),(50 10076580),(51 10288632),(52 10519904),(53 10580774),(54 10604220),(55 10564581),(56 10513254),(57 10487060),(58 10562277),(59 10722057),(60 10896802),(61 11064949),(62 11109019),(63 11066598),(64 11199109),(65 11275870),(66 11447177),(67 11627637),(68 11680906),(69 11833271),(70 11872337),(71 11950313),(72 12127145),(73 12192550),(74 12387476),(75 12372601),(76 12525700),(77 12735557),(78 13034777),(79 13147392),
(1 4617.6895),(2 9152.716),(3 14422.816),(4 20802.53),(5 28844.408),(6 37596.438),(7 46701.785),(8 56832.31),(9 68207.2),(10 83947.54),(11 105277.6),(12 138009.31),(13 166454.3),(14 208227.25),(15 262680.16),(16 337022.44),(17 443680.47),(18 581997.75),(19 744361.7),(20 926211.6),(21 1119872.3),(22 1325849.9),(23 1516234.6),(24 1675084.4),(25 1822305.1),(26 1941495.5),(27 2067504.6),(28 2220639.8),(29 2405190.8),(30 2659953.8),(31 2955851.8),(32 3203484.3),(33 3447812),(34 3658459.8),(35 3862805.3),(36 4046757.3),(37 4252478.5),(38 4540851),(39 4811440.5),(40 5058139.5),(41 5240434.5),(42 5340545),(43 5470906.5),(44 5664706.5),(45 5966640.5),(46 6124075.5),(47 6336074),(48 6466434),(49 6631283.5),(50 6807835),(51 7043222.5),(52 7236173),(53 7467877),(54 7803282.5),(55 8128939.5),(56 8406678),(57 8573667),(58 8741046),(59 9011089),(60 9330786),(61 9639596),(62 9865015),(63 9985326),(64 10045730),(65 10049454),(66 10066080),(67 10157014),(68 10381933),(69 10543050),(70 10794676),(71 11126240),(72 11222372),(73 11248208),(74 11222322),(75 11048845),(76 10878707),(77 10920643),(78 11068314),(79 11179767),
(1 4470.1133),(2 8782.845),(3 13654.671),(4 20230.713),(5 27072.521),(6 34824.195),(7 43015.758),(8 51030.973),(9 63322.176),(10 82399.93),(11 108407.63),(12 148934.86),(13 190787.27),(14 255611.67),(15 342904.88),(16 449089.66),(17 583345.4),(18 739697.5),(19 898389.44),(20 1053107.3),(21 1214296.3),(22 1411055.1),(23 1613697.4),(24 1795959.6),(25 1954115.3),(26 2096235.8),(27 2308968),(28 2564931.3),(29 2857026.5),(30 3247026.3),(31 3665715.3),(32 4169129.5),(33 4569428.5),(34 4897508),(35 5202661),(36 5454545.5),(37 5754347.5),(38 6112925),(39 6442088.5),(40 6813005),(41 7201083.5),(42 7493646),(43 7724900),(44 7933396.5),(45 8177205.5),(46 8419876),(47 8682632),(48 8920678),(49 8997192),(50 8962453),(51 9014866),(52 9075114),(53 9155013),(54 9315360),(55 9491809),(56 9613174),(57 9811763),(58 9881004),(59 9922296),(60 9936309),(61 10041818),(62 10026457),(63 10027142),(64 10144481),(65 10258180),(66 10283852),(67 10280510),(68 10332894),(69 10343602),(70 10460563),(71 10819552),(72 11123480),(73 11226187),(74 11241877),(75 11236367),(76 11095979),(77 10982620),(78 11003866),(79 11056970),
(1 4549.9863),(2 8909.821),(3 15506.174),(4 22428.848),(5 28809.463),(6 37362.383),(7 46756.695),(8 56121.918),(9 67564.87),(10 82933.125),(11 104655.18),(12 136110.25),(13 176865.11),(14 243072.06),(15 332903.22),(16 454181.28),(17 618048.3),(18 815419.75),(19 1027500.44),(20 1253068.9),(21 1505784),(22 1810634.3),(23 2101545.3),(24 2373678.8),(25 2623688.5),(26 2848365.8),(27 3072798.3),(28 3293497.3),(29 3533924.3),(30 3787224),(31 4045060.5),(32 4349744.5),(33 4605731),(34 4880815),(35 5156446),(36 5487296),(37 5779562.5),(38 5959474),(39 6139513.5),(40 6355978),(41 6660778),(42 7001354.5),(43 7136798.5),(44 7204405),(45 7239738),(46 7205583.5),(47 7331614),(48 7526590),(49 7626941.5),(50 7829779.5),(51 8003468.5),(52 8174839),(53 8256050),(54 8344618),(55 8270588.5),(56 8202065),(57 8119082.5),(58 8025770.5),(59 8054467.5),(60 8145026),(61 8297159),(62 8428878),(63 8495060),(64 8476004),(65 8465547),(66 8521399),(67 8688654),(68 8909125),(69 9086948),(70 9236603),(71 9377315),(72 9417362),(73 9366174),(74 9285566),(75 9299436),(76 9309756),(77 9407232),(78 9784610),(79 10115900),
(1 4755.6885),(2 9888.623),(3 15678.39),(4 21780.445),(5 28990.926),(6 36802.33),(7 45758.75),(8 54123.316),(9 63987.47),(10 80068.93),(11 101227.18),(12 135234.6),(13 184136.45),(14 265747.75),(15 379202.72),(16 550661.2),(17 759387.44),(18 1034202.4),(19 1364836.8),(20 1713716.3),(21 2036312),(22 2394436.8),(23 2779316),(24 3165077),(25 3499497),(26 3818434),(27 4211518),(28 4630803),(29 4980478),(30 5275847.5),(31 5604666),(32 5850957.5),(33 6043172.5),(34 6239659.5),(35 6382925),(36 6535485),(37 6706519.5),(38 6943642),(39 7208131),(40 7423971.5),(41 7562105),(42 7686486),(43 7792938),(44 7820720.5),(45 7853788),(46 8099697),(47 8321897.5),(48 8312774.5),(49 8204429),(50 8100893),(51 8103369.5),(52 8225732.5),(53 8332862),(54 8411112),(55 8541141),(56 8666848),(57 8845139),(58 8978031),(59 9074490),(60 9206882),(61 9489128),(62 9811104),(63 10095038),(64 10437134),(65 10773022),(66 10864021),(67 10879641),(68 10922443),(69 10945715),(70 10837828),(71 10893920),(72 11059538),(73 11391526),(74 11636002),(75 11820786),(76 11713463),(77 11644666),(78 11659771),(79 11550401),
