1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 653063.7),(2 1905144.4),(3 3248562),(4 4720547),(5 6275017.5),(6 8002714),(7 9341600),(8 10860643),(9 13083201),(10 14817037),(11 16320588),(12 17982716),(13 19453382),(14 20832172),(15 22411506),(16 24175920),(17 26056070),(18 28657066),(19 31364566),(20 33715652),(21 35831132),(22 37410636),(23 39090484),(24 40709444),(25 41611276),(26 41984300),(27 42079180),(28 42378092),(29 42699148),(30 42585740),(31 42889876),(32 43770140),(33 44057908),(34 45232350),(35 46319404),(36 47262476),(37 48270932),(38 49053150),(39 49537948),(40 49943172),(41 50720500),(42 50991520),(43 51431980),(44 52373020),(45 53355796),(46 53893548),(47 54280788),(48 54671390),(49 55602268),(50 56200660),(51 56649056),(52 57838156),(53 58204830),(54 57861932),(55 57737420),(56 57741492),(57 57752224),(58 57405932),(59 56820544),(60 56058436),(61 54853940),(62 53732670),(63 52613120),(64 51470124),(65 50350132),(66 49375604),(67 48051548),(68 46310124),(69 45324948),(70 44833180),(71 43746204),(72 42786984),(73 41362708),(74 40496450),(75 39947116),(76 39457132),(77 38874750),(78 38168176),(79 38010350),
(1 621263.8),(2 2042544.8),(3 3753501.5),(4 5479948),(5 7342128),(6 9564258),(7 11374835),(8 13528984),(9 16350443),(10 19129722),(11 21809628),(12 24459236),(13 26599504),(14 28374500),(15 30198010),(16 31689276),(17 32703866),(18 33749120),(19 34473252),(20 34772956),(21 35147650),(22 35050492),(23 34983980),(24 34947864),(25 34895796),(26 35103264),(27 34871564),(28 34428910),(29 33842324),(30 32875508),(31 32418682),(32 32237232),(33 32157114),(34 32141510),(35 31832128),(36 31386682),(37 30750086),(38 30384250),(39 30305526),(40 29731814),(41 29352724),(42 28509504),(43 27816928),(44 27258086),(45 26675446),(46 25992522),(47 25695480),(48 25571072),(49 25834744),(50 25670646),(51 25605738),(52 25454568),(53 25545282),(54 25735792),(55 25815918),(56 25908072),(57 26022350),(58 25836362),(59 25612732),(60 25723178),(61 25456188),(62 25096064),(63 24223236),(64 23039356),(65 21958420),(66 21056226),(67 20072188),(68 19239748),(69 18896260),(70 18638016),(71 18448436),(72 18450196),(73 18246500),(74 18226172),(75 18182266),(76 18486470),(77 19077898),(78 19205616),(79 19315034),
(1 868678.94),(2 2957215.8),(3 5664102.5),(4 8667715),(5 12071359),(6 15790061),(7 19056150),(8 22481322),(9 25856184),(10 28706720),(11 31192486),(12 33052550),(13 34016556),(14 34097600),(15 34169204),(16 34185160),(17 33758788),(18 32527872),(19 30972136),(20 29454526),(21 27880790),(22 26583208),(23 25350512),(24 24281552),(25 23466776),(26 22982304),(27 22504706),(28 22314846),(29 22124810),(30 21782112),(31 21679356),(32 21875548),(33 22294242),(34 22767946),(35 23284512),(36 23392330),(37 23008656),(38 22634438),(39 22439654),(40 22044470),(41 21432318),(42 20757910),(43 20190622),(44 19523246),(45 18821248),(46 18253354),(47 18008512),(48 18302968),(49 18884246),(50 19616018),(51 20399438),(52 21585052),(53 23104272),(54 24759728),(55 26764710),(56 28358904),(57 29786018),(58 30850798),(59 31683248),(60 32729552),(61 32854862),(62 33062224),(63 32605424),(64 31724182),(65 30752798),(66 29904094),(67 29119386),(68 28384762),(69 27683382),(70 27413510),(71 26786496),(72 26092918),(73 25335330),(74 24354982),(75 23394886),(76 22738864),(77 22325454),(78 22035944),(79 21855710),
(1 927099),(2 3055941.8),(3 5798162.5),(4 8815879),(5 12222711),(6 15601065),(7 18646664),(8 20968426),(9 22969484),(10 24282172),(11 25085150),(12 25501548),(13 25808808),(14 25643218),(15 25636900),(16 25603296),(17 25651752),(18 25388368),(19 24884736),(20 24202230),(21 23506664),(22 23026060),(23 22647268),(24 22279730),(25 22051986),(26 21665544),(27 20960508),(28 20123836),(29 19361586),(30 18911320),(31 18627892),(32 18332986),(33 17691520),(34 17073732),(35 16833952),(36 16838408),(37 17076060),(38 17531562),(39 18091876),(40 18577148),(41 19212504),(42 19893448),(43 20593636),(44 21021870),(45 21207880),(46 21135018),(47 20900156),(48 20558474),(49 19697880),(50 18353758),(51 16974306),(52 15679961),(53 14677184),(54 14034650),(55 13729233),(56 13783738),(57 13796976),(58 13908820),(59 13908036),(60 13920596),(61 13726736),(62 13390761),(63 13233173),(64 13280044),(65 13642295),(66 13973808),(67 14242181),(68 14654701),(69 15273182),(70 15814507),(71 16468855),(72 17271646),(73 17988570),(74 18596248),(75 19236768),(76 19848374),(77 20084664),(78 19998424),(79 19796336),
(1 947308.2),(2 3030675.8),(3 5744934),(4 8711649),(5 11936978),(6 15347849),(7 18508186),(8 21228678),(9 23671800),(10 25478502),(11 26735282),(12 27683496),(13 28208326),(14 28414938),(15 28257496),(16 27894514),(17 27511720),(18 27269324),(19 26888992),(20 26243502),(21 25729172),(22 25270540),(23 24943532),(24 24865414),(25 24749064),(26 24345392),(27 23817218),(28 23369144),(29 22879230),(30 22505496),(31 22124238),(32 21728450),(33 21119354),(34 20621968),(35 20575424),(36 20557134),(37 20534482),(38 20658782),(39 20764812),(40 20516472),(41 20308076),(42 19886066),(43 19516232),(44 19174024),(45 18840314),(46 18525472),(47 18212606),(48 17956614),(49 17497982),(50 16763040),(51 16219920),(52 15661841),(53 15306713),(54 15259743),(55 15295503),(56 15400881),(57 15551004),(58 15831702),(59 16099392),(60 16267375),(61 16520015),(62 17024026),(63 17729624),(64 18784706),(65 20215250),(66 21464088),(67 22547514),(68 23657058),(69 24658136),(70 25097176),(71 25115220),(72 24814580),(73 23979220),(74 22858760),(75 21788478),(76 20954034),(77 20317322),(78 19576596),(79 18937624),
(1 1100827.3),(2 3497997.5),(3 6382595),(4 9286818),(5 11858922),(6 14016106),(7 15648291),(8 16859852),(9 17381934),(10 17654800),(11 17802368),(12 18033180),(13 18442860),(14 18822528),(15 18851118),(16 18394514),(17 17691056),(18 16821328),(19 16167061),(20 15325290),(21 14642330),(22 14229725),(23 14145101),(24 14783917),(25 15819859),(26 17060844),(27 18506650),(28 19709596),(29 20590276),(30 20996324),(31 20982744),(32 20542368),(33 19808234),(34 19022416),(35 18484764),(36 17913660),(37 17438938),(38 17010038),(39 16388315),(40 15728315),(41 15255787),(42 14829510),(43 14570869),(44 14307602),(45 13960765),(46 13714242),(47 13526794),(48 13515514),(49 13535658),(50 13509410),(51 13636206),(52 13929891),(53 14302328),(54 14929123),(55 15715891),(56 16253990),(57 16567587),(58 16792904),(59 16882042),(60 16728840),(61 16426318),(62 15953563),(63 15233661),(64 14692125),(65 14624666),(66 14889878),(67 15309354),(68 15977405),(69 16747091),(70 17361526),(71 18001002),(72 18526976),(73 18918064),(74 19322112),(75 19798634),(76 20283216),(77 20715984),(78 21021370),(79 21255012),
(1 1228066.8),(2 3939685),(3 7384619.5),(4 10904672),(5 14028770),(6 16483456),(7 17933554),(8 18192972),(9 17400268),(10 15985838),(11 14440810),(12 12796702),(13 11555210),(14 10872641),(15 10944229),(16 11500407),(17 12244503),(18 12960783),(19 13721409),(20 14260438),(21 14458828),(22 14494775),(23 14709105),(24 14997286),(25 15068143),(26 14698825),(27 14153039),(28 13285428),(29 12423780),(30 11727022),(31 11342378),(32 11363626),(33 11662619),(34 12302603),(35 13178964),(36 13957024),(37 14408034),(38 14764090),(39 15217164),(40 15783527),(41 16471990),(42 17257308),(43 17593840),(44 17800406),(45 17798328),(46 17704356),(47 17700062),(48 17587872),(49 17144732),(50 16551422),(51 15993344),(52 15488207),(53 15056923),(54 15045184),(55 15300778),(56 15740954),(57 16251364),(58 16898594),(59 17324924),(60 17585562),(61 17799154),(62 17812804),(63 17767268),(64 17591554),(65 17389384),(66 16958256),(67 16364213),(68 15470857),(69 14364251),(70 13294811),(71 12611040),(72 12273865),(73 12594465),(74 13548094),(75 14661874),(76 15883750),(77 17017894),(78 17767048),(79 17853030),
(1 1823980.3),(2 6033002.5),(3 11198897),(4 16069082),(5 19895258),(6 22122484),(7 22732788),(8 21897462),(9 20099886),(10 18083428),(11 16321323),(12 15071780),(13 14274238),(14 13833165),(15 13669717),(16 13868694),(17 13992015),(18 14027269),(19 14083117),(20 14153619),(21 14438011),(22 15037716),(23 15848890),(24 16877084),(25 17988132),(26 18590906),(27 18430858),(28 17478332),(29 16142042),(30 14774089),(31 14021075),(32 14222466),(33 15096638),(34 16511458),(35 18050974),(36 18897576),(37 19078716),(38 18785532),(39 18050980),(40 17152426),(41 16481523),(42 16218745),(43 16489941),(44 17061388),(45 17837548),(46 18729698),(47 19873190),(48 20642084),(49 20991662),(50 20860010),(51 20277566),(52 19428036),(53 18506272),(54 17925522),(55 17719098),(56 17774272),(57 17911362),(58 18106712),(59 18170578),(60 18322162),(61 18593234),(62 18799186),(63 18730894),(64 18340252),(65 17452868),(66 16126829),(67 14815648),(68 14115915),(69 14463322),(70 15935052),(71 18396582),(72 21340312),(73 24066486),(74 26085172),(75 26238132),(76 24698104),(77 22123446),(78 19086878),(79 16012802),
(1 1974496.3),(2 6613190.5),(3 11946269),(4 16173568),(5 18741196),(6 19433972),(7 18480544),(8 16566406),(9 14655443),(10 13110805),(11 12175767),(12 11930609),(13 11905425),(14 12222548),(15 13044578),(16 14177914),(17 15276888),(18 15924100),(19 15798253),(20 14955160),(21 13692661),(22 12611533),(23 12510729),(24 13707768),(25 15976243),(26 18345702),(27 19854720),(28 19805474),(29 18348106),(30 15902511),(31 13332988),(32 11745478),(33 11638748),(34 12551240),(35 14088740),(36 15597421),(37 16710699),(38 17519604),(39 17911312),(40 18080326),(41 17909600),(42 17149120),(43 15881864),(44 14460171),(45 13227578),(46 12555191),(47 12804601),(48 13841359),(49 15644616),(50 17692622),(51 19509304),(52 20571580),(53 21034618),(54 20651874),(55 19761898),(56 18167064),(57 16451738),(58 15253564),(59 14899324),(60 15547244),(61 16843888),(62 17973826),(63 18449074),(64 18156308),(65 16971712),(66 15542634),(67 14342028),(68 13800687),(69 14370803),(70 15594923),(71 16976452),(72 18023274),(73 18077974),(74 17233416),(75 16077229),(76 15119206),(77 14778590),(78 14811796),(79 15064648),
(1 2360945.3),(2 7723635.5),(3 13267860),(4 16958102),(5 18250646),(6 17700566),(7 16015058),(8 14424768),(9 13709559),(10 13648271),(11 13670356),(12 13368983),(13 12588334),(14 11942146),(15 11882483),(16 12677852),(17 13841358),(18 14951180),(19 15494958),(20 15137371),(21 14159080),(22 13041244),(23 12708432),(24 13416956),(25 14830439),(26 15870668),(27 15798149),(28 14977838),(29 13723931),(30 12946264),(31 13089752),(32 14252815),(33 16063984),(34 17490662),(35 17879500),(36 17071214),(37 15605415),(38 14565196),(39 14472651),(40 15262226),(41 16332331),(42 17117976),(43 17343436),(44 16952430),(45 15995225),(46 14982836),(47 14339826),(48 14331406),(49 14840943),(50 15826165),(51 17115370),(52 18389156),(53 19233520),(54 19262558),(55 18541376),(56 17126934),(57 15491036),(58 14229491),(59 13611587),(60 13828341),(61 14810823),(62 16104692),(63 17149346),(64 17653870),(65 17509860),(66 16908672),(67 16267392),(68 15772590),(69 15726974),(70 16185440),(71 16559431),(72 16480747),(73 16153675),(74 15937920),(75 16171173),(76 16946584),(77 17997800),(78 18981718),(79 19343612),
(1 2568711.8),(2 8550193),(3 15000938),(4 19034862),(5 19920806),(6 18131026),(7 14992482),(8 12602406),(9 11987083),(10 13085914),(11 14857636),(12 16138270),(13 16452540),(14 15828610),(15 14654504),(16 13497106),(17 12863536),(18 13387154),(19 14725432),(20 15820292),(21 16022948),(22 15301970),(23 14081600),(24 13002267),(25 12460126),(26 12464016),(27 13098038),(28 14058430),(29 14938294),(30 15732224),(31 16471017),(32 17071114),(33 17110926),(34 16655010),(35 15803991),(36 15021490),(37 14618970),(38 15058589),(39 16231191),(40 17634508),(41 18554558),(42 18375710),(43 17474038),(44 16356604),(45 15353013),(46 15072007),(47 15720121),(48 17233190),(49 18956690),(50 20305198),(51 20647322),(52 20588842),(53 20195844),(54 19439182),(55 18458770),(56 17841728),(57 17691888),(58 17712366),(59 18248722),(60 19478716),(61 20969344),(62 22424990),(63 23131084),(64 22619460),(65 21072848),(66 18973290),(67 17155224),(68 16367720),(69 16754406),(70 17901676),(71 18994268),(72 19485874),(73 19069872),(74 18181044),(75 17044222),(76 16478955),(77 16526114),(78 17088166),(79 17783914),
