1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40944.97),(2 120507.4),(3 227264.98),(4 379586.5),(5 551422.06),(6 755013.06),(7 983115.3),(8 1225526.6),(9 1531774.6),(10 1884124.9),(11 2149048.8),(12 2397699.3),(13 2618843.3),(14 2803003.3),(15 2956149.8),(16 3114614.3),(17 3279810),(18 3448646.8),(19 3636028),(20 3852656.8),(21 4114169.3),(22 4421936),(23 4778890.5),(24 5222191),(25 5712630.5),(26 6269332.5),(27 6903972),(28 7419394.5),(29 7977729.5),(30 8508309),(31 8921732),(32 9201749),(33 9441507),(34 9597909),(35 9742276),(36 9823474),(37 9866199),(38 9876813),(39 9856551),(40 9736046),(41 9574217),(42 9409997),(43 9206685),(44 8953715),(45 8669989),(46 8382511.5),(47 8080773.5),(48 7736990),(49 7422697.5),(50 7126068),(51 6837360),(52 6595281.5),(53 6416694),(54 6355518),(55 6343200),(56 6372780.5),(57 6411388),(58 6475234.5),(59 6537279.5),(60 6613117.5),(61 6688462.5),(62 6826318.5),(63 6900966),(64 6981569.5),(65 7048009.5),(66 7066856),(67 7090621.5),(68 7087285.5),(69 7096120),(70 7108158.5),(71 7126176),(72 7142560),(73 7149242.5),(74 7156258),(75 7134693.5),(76 7133170),(77 7123230.5),(78 7086529.5),(79 7066053.5),
(1 36338.54),(2 118091.2),(3 232837.8),(4 399119.5),(5 599948.6),(6 836445.3),(7 1122193.8),(8 1421567.8),(9 1802308.3),(10 2233070.5),(11 2616350.3),(12 3008618.5),(13 3412552.8),(14 3782118.5),(15 4136873.5),(16 4486935),(17 4828589.5),(18 5180595),(19 5525312.5),(20 5880783),(21 6247856),(22 6612547),(23 6983224),(24 7343296),(25 7696602.5),(26 8033726.5),(27 8341285.5),(28 8586821),(29 8795954),(30 8902218),(31 8947719),(32 8894598),(33 8805880),(34 8672392),(35 8539562),(36 8393406),(37 8264310.5),(38 8145513.5),(39 8044731),(40 7974033.5),(41 7930924),(42 7897443),(43 7890528),(44 7893577.5),(45 7936551),(46 8008820),(47 8108169.5),(48 8239168),(49 8443829),(50 8652043),(51 8949389),(52 9272924),(53 9653938),(54 10099578),(55 10599085),(56 11097012),(57 11601814),(58 12064891),(59 12523544),(60 12940098),(61 13320385),(62 13649194),(63 13920878),(64 14140333),(65 14304629),(66 14388234),(67 14398339),(68 14374522),(69 14331856),(70 14210592),(71 14091485),(72 13974456),(73 13816054),(74 13613621),(75 13375054),(76 13108186),(77 12809130),(78 12465738),(79 12155465),
(1 50605),(2 166275.42),(3 335967.75),(4 560646),(5 835282.5),(6 1144523.4),(7 1484943.1),(8 1846308.5),(9 2258361.5),(10 2673371.8),(11 3072430),(12 3463691),(13 3839223.8),(14 4218776),(15 4601243.5),(16 4971716.5),(17 5352129.5),(18 5716080),(19 6095146),(20 6462500),(21 6873050.5),(22 7285724),(23 7710194.5),(24 8131704),(25 8558098),(26 8961367),(27 9356005),(28 9720849),(29 10024210),(30 10254235),(31 10461233),(32 10572669),(33 10625721),(34 10642637),(35 10653631),(36 10602554),(37 10530537),(38 10429247),(39 10306575),(40 10160088),(41 9989351),(42 9773039),(43 9547581),(44 9315239),(45 9076177),(46 8841263),(47 8637623),(48 8452031),(49 8330903.5),(50 8259108),(51 8264561.5),(52 8318968),(53 8418706),(54 8586519),(55 8808745),(56 9007377),(57 9229605),(58 9432315),(59 9632134),(60 9803996),(61 9947831),(62 10057329),(63 10140303),(64 10187813),(65 10202061),(66 10182147),(67 10131951),(68 10064415),(69 9976055),(70 9844932),(71 9718778),(72 9581572),(73 9426829),(74 9263985),(75 9097021),(76 8932403),(77 8763973),(78 8597133),(79 8449447),
(1 63882.457),(2 227990.81),(3 479607.13),(4 809220.3),(5 1205077.9),(6 1667102),(7 2174817.3),(8 2728232),(9 3360536.5),(10 4022408),(11 4642776.5),(12 5270137),(13 5882002.5),(14 6463592.5),(15 6993682),(16 7500115.5),(17 8003445.5),(18 8509399),(19 8992053),(20 9455780),(21 9882645),(22 10280276),(23 10638229),(24 10955515),(25 11217073),(26 11430372),(27 11558949),(28 11604208),(29 11560412),(30 11436866),(31 11255557),(32 11055531),(33 10865319),(34 10691325),(35 10578865),(36 10507798),(37 10498532),(38 10535397),(39 10590000),(40 10653305),(41 10678779),(42 10691174),(43 10661372),(44 10592059),(45 10471374),(46 10313900),(47 10165157),(48 10034534),(49 9944443),(50 9891607),(51 9938135),(52 10034676),(53 10222398),(54 10460425),(55 10721134),(56 10996574),(57 11258199),(58 11510119),(59 11741044),(60 11953543),(61 12139425),(62 12251820),(63 12332795),(64 12399276),(65 12434967),(66 12433158),(67 12408917),(68 12371084),(69 12292213),(70 12178977),(71 12069057),(72 11921456),(73 11766489),(74 11595639),(75 11425404),(76 11265374),(77 11104715),(78 10975172),(79 10883226),
(1 63639.473),(2 229030.95),(3 486152.5),(4 826895.25),(5 1237872.9),(6 1708437.5),(7 2243118.3),(8 2815388.3),(9 3445249),(10 4108018.3),(11 4760900.5),(12 5431180.5),(13 6110797),(14 6771626),(15 7395532.5),(16 7988243),(17 8571328),(18 9151807),(19 9721360),(20 10269257),(21 10773397),(22 11233213),(23 11646232),(24 12017313),(25 12328604),(26 12561325),(27 12687517),(28 12693764),(29 12615567),(30 12448442),(31 12242211),(32 12029509),(33 11842184),(34 11691742),(35 11577826),(36 11491605),(37 11465988),(38 11476296),(39 11497805),(40 11501068),(41 11470500),(42 11436268),(43 11347755),(44 11222449),(45 11047751),(46 10830600),(47 10609871),(48 10394358),(49 10187743),(50 9996286),(51 9843288),(52 9716973),(53 9630044),(54 9568696),(55 9522887),(56 9481952),(57 9447046),(58 9408844),(59 9370234),(60 9344896),(61 9325917),(62 9302071),(63 9281783),(64 9265927),(65 9255679),(66 9224228),(67 9185935),(68 9141532),(69 9084739),(70 9004640),(71 8909260),(72 8797188),(73 8670556),(74 8535012),(75 8378062.5),(76 8200910.5),(77 8018032),(78 7844228.5),(79 7698331.5),
(1 59806.74),(2 212118.75),(3 434127.2),(4 717178.3),(5 1036478.8),(6 1374387.3),(7 1721690.8),(8 2067203),(9 2418293.5),(10 2770511.5),(11 3114666),(12 3456528),(13 3806085.5),(14 4176835.3),(15 4555591),(16 4932323),(17 5316862),(18 5717691.5),(19 6112025.5),(20 6506640),(21 6877648),(22 7235174.5),(23 7587555),(24 7933118.5),(25 8246237),(26 8538954),(27 8802397),(28 9062440),(29 9269310),(30 9414714),(31 9539651),(32 9650379),(33 9773637),(34 9891765),(35 9993145),(36 10067568),(37 10136305),(38 10192601),(39 10231800),(40 10224089),(41 10183134),(42 10126052),(43 10043817),(44 9939781),(45 9827253),(46 9719309),(47 9610590),(48 9511317),(49 9393124),(50 9290304),(51 9198209),(52 9032512),(53 8867582),(54 8664272),(55 8409379),(56 8111201),(57 7819726.5),(58 7514831),(59 7224462.5),(60 6944172),(61 6740871),(62 6560875),(63 6425857.5),(64 6347531),(65 6315746),(66 6307083.5),(67 6324244.5),(68 6380763),(69 6430047),(70 6508323.5),(71 6591186),(72 6693493.5),(73 6786753),(74 6883617.5),(75 6972715),(76 7046361),(77 7100373),(78 7145597),(79 7162061),
(1 72696.984),(2 258320.56),(3 529762.06),(4 869370),(5 1256251.8),(6 1654086.8),(7 2051840.8),(8 2432665),(9 2803631.5),(10 3159804),(11 3482810.3),(12 3769324.5),(13 4028011.5),(14 4259839.5),(15 4472135.5),(16 4681871),(17 4881619.5),(18 5065400),(19 5257696.5),(20 5449584.5),(21 5637204.5),(22 5839273),(23 6045615),(24 6253276.5),(25 6479059.5),(26 6686600.5),(27 6892562),(28 7087115),(29 7261758),(30 7389165.5),(31 7516901.5),(32 7617778),(33 7713304),(34 7767844.5),(35 7810249),(36 7817017),(37 7808141),(38 7773536),(39 7710499.5),(40 7582751.5),(41 7454572.5),(42 7303176.5),(43 7153549.5),(44 7019567),(45 6895527.5),(46 6793629),(47 6713978.5),(48 6658491.5),(49 6631008.5),(50 6610639),(51 6623402),(52 6629385),(53 6616288),(54 6582269.5),(55 6520174),(56 6422064),(57 6315997),(58 6182349.5),(59 6048428.5),(60 5902934),(61 5789296.5),(62 5693719),(63 5619727.5),(64 5552107.5),(65 5500754),(66 5460973),(67 5431042),(68 5409997),(69 5395335),(70 5373503.5),(71 5366255.5),(72 5360320),(73 5350234.5),(74 5336374),(75 5294708.5),(76 5253000),(77 5192736.5),(78 5117656.5),(79 5038828.5),
(1 69409.484),(2 247470.06),(3 520011.53),(4 866940),(5 1268160.6),(6 1701863.8),(7 2155545),(8 2597400.8),(9 3030055.3),(10 3453459.3),(11 3869394.8),(12 4258730.5),(13 4623464.5),(14 4953565),(15 5233081.5),(16 5483363),(17 5702438.5),(18 5900153.5),(19 6090128),(20 6275134.5),(21 6454615),(22 6640952.5),(23 6829519),(24 7008943),(25 7181234),(26 7354400),(27 7510361.5),(28 7655886),(29 7779194.5),(30 7869895.5),(31 7962058),(32 8055351),(33 8144724.5),(34 8207961.5),(35 8256347),(36 8264323),(37 8233810.5),(38 8169346.5),(39 8061604.5),(40 7901462.5),(41 7741847),(42 7568605),(43 7400571.5),(44 7250421),(45 7120507),(46 7008797),(47 6909514),(48 6835783.5),(49 6787846.5),(50 6745453),(51 6701220.5),(52 6669181.5),(53 6615723),(54 6541825),(55 6481525.5),(56 6394189),(57 6302882),(58 6207170),(59 6124309.5),(60 6054112.5),(61 5976021.5),(62 5929548.5),(63 5890262.5),(64 5851317.5),(65 5812457),(66 5785863.5),(67 5775823.5),(68 5768012.5),(69 5771394),(70 5759702.5),(71 5751769.5),(72 5739193),(73 5706879.5),(74 5673670),(75 5610616.5),(76 5542814.5),(77 5461373.5),(78 5357729),(79 5249921.5),
(1 62930.668),(2 215049.92),(3 435929.8),(4 705241.75),(5 1005102.1),(6 1316439.3),(7 1627921.6),(8 1930827.4),(9 2226325.8),(10 2526150.3),(11 2832296.5),(12 3135503),(13 3422705.5),(14 3701939.5),(15 3957460.8),(16 4187608),(17 4399816),(18 4604807.5),(19 4804419),(20 5021840.5),(21 5246269.5),(22 5491819.5),(23 5751748),(24 6011192.5),(25 6238319.5),(26 6471799),(27 6701196),(28 6905569.5),(29 7112284),(30 7265360),(31 7374732),(32 7466370),(33 7535355),(34 7590022.5),(35 7623199),(36 7648992.5),(37 7668224),(38 7671077),(39 7657101.5),(40 7642562),(41 7577861.5),(42 7481918),(43 7342472.5),(44 7179831.5),(45 7012221),(46 6863272),(47 6722700),(48 6616672.5),(49 6526882),(50 6473592.5),(51 6437947),(52 6382664.5),(53 6350555),(54 6301019.5),(55 6238219.5),(56 6178029.5),(57 6116335),(58 6040588.5),(59 5972543.5),(60 5894320),(61 5821503),(62 5738689),(63 5644611),(64 5584536.5),(65 5539685.5),(66 5497839),(67 5466917),(68 5454131),(69 5451810),(70 5454721.5),(71 5461147.5),(72 5473151),(73 5472653),(74 5475381.5),(75 5456485.5),(76 5444531.5),(77 5418374.5),(78 5391435.5),(79 5336175.5),
(1 68266.484),(2 231061.4),(3 458177.16),(4 717322.44),(5 993076),(6 1268462.5),(7 1520216.6),(8 1754225.8),(9 1979322),(10 2197653),(11 2419496.3),(12 2644829),(13 2861939),(14 3078462.8),(15 3290363.5),(16 3498989.3),(17 3709668),(18 3919942.3),(19 4146434.8),(20 4398468.5),(21 4671724.5),(22 4959879),(23 5253006.5),(24 5537366),(25 5797468.5),(26 6044644.5),(27 6286297),(28 6504960.5),(29 6731271),(30 6934828),(31 7131768),(32 7322132.5),(33 7514085.5),(34 7690362.5),(35 7846645.5),(36 7994170),(37 8124349.5),(38 8224448),(39 8289747.5),(40 8350299.5),(41 8340074.5),(42 8271986),(43 8145006),(44 7971508.5),(45 7780538.5),(46 7588422),(47 7406821.5),(48 7244797),(49 7093783),(50 6976754.5),(51 6851397.5),(52 6705745.5),(53 6583532.5),(54 6455178),(55 6320928.5),(56 6215002.5),(57 6125058),(58 6038342.5),(59 5951110.5),(60 5863537),(61 5761282.5),(62 5622477.5),(63 5477625.5),(64 5352250),(65 5225922),(66 5102702),(67 4988706),(68 4883397.5),(69 4793272.5),(70 4717694.5),(71 4653218.5),(72 4598722),(73 4558715.5),(74 4525839),(75 4496334),(76 4458331.5),(77 4422394.5),(78 4380158),(79 4324817.5),
(1 68382.11),(2 234885.36),(3 472665.66),(4 748847.2),(5 1050944.3),(6 1350908.1),(7 1636581.9),(8 1885853),(9 2100334.3),(10 2296103),(11 2489054.5),(12 2679671.5),(13 2866664),(14 3058557.3),(15 3235314),(16 3413687.8),(17 3582742.3),(18 3742488.5),(19 3919799.5),(20 4114151.5),(21 4336251),(22 4569335),(23 4802830.5),(24 5023685.5),(25 5252880),(26 5467396),(27 5696060.5),(28 5903746),(29 6098832),(30 6250523.5),(31 6372109.5),(32 6471378.5),(33 6588751.5),(34 6711654),(35 6831889),(36 6973024),(37 7112334),(38 7230163),(39 7304542),(40 7304043.5),(41 7277088),(42 7177791.5),(43 7033483.5),(44 6853326.5),(45 6653024.5),(46 6438210.5),(47 6227860),(48 6018915),(49 5830094),(50 5655188.5),(51 5487009),(52 5343604),(53 5205068),(54 5072772),(55 4947791.5),(56 4839507.5),(57 4728824.5),(58 4624955),(59 4519182.5),(60 4432814),(61 4361881.5),(62 4292979),(63 4241651.5),(64 4198911),(65 4153714),(66 4125552),(67 4089779.8),(68 4060003.3),(69 4029108.8),(70 3999172.3),(71 3973751),(72 3961893.8),(73 3960091.8),(74 3963398),(75 3971265),(76 3979539.8),(77 3986274.8),(78 3982639.5),(79 3984266),
