1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13458.706),(2 31385.139),(3 63497.926),(4 99626.35),(5 145339.27),(6 194394.13),(7 250713.45),(8 327275.47),(9 400288.6),(10 472371.88),(11 550694.75),(12 622660.5),(13 690114.2),(14 748455.44),(15 819973.94),(16 897059.25),(17 974506.7),(18 1054222.4),(19 1113393.1),(20 1170103.8),(21 1227334.1),(22 1279537.3),(23 1354624.9),(24 1400228),(25 1448255),(26 1473481),(27 1511134.1),(28 1531269.6),(29 1553462.4),(30 1571404.6),(31 1583126.4),(32 1598912),(33 1608265),(34 1633138.6),(35 1671098.4),(36 1703028),(37 1744170),(38 1768236.6),(39 1803156.9),(40 1829273.9),(41 1856828.4),(42 1881363.5),(43 1891402.4),(44 1893494.9),(45 1903965.4),(46 1899949.4),(47 1918056.6),(48 1926462.6),(49 1968156),(50 1983227.6),(51 2007867.9),(52 2018592),(53 2055087.1),(54 2088360.6),(55 2111698.8),(56 2157450),(57 2191388.8),(58 2235351.8),(59 2279499),(60 2307194.8),(61 2345114.3),(62 2352414.8),(63 2378391),(64 2392483.3),(65 2439243.8),(66 2457422),(67 2476973),(68 2504111),(69 2528206.8),(70 2535229),(71 2548303.5),(72 2558240),(73 2591390),(74 2595783),(75 2629212.8),(76 2647118.3),(77 2656681),(78 2674185.3),(79 2681717.3),
(1 10716.628),(2 29470.5),(3 53774.18),(4 81582.33),(5 113346.3),(6 145312.78),(7 180850.61),(8 220537.55),(9 267043.03),(10 311801.44),(11 356965.16),(12 396230.66),(13 435021.7),(14 471034.5),(15 510203.34),(16 551056.3),(17 591234.9),(18 629362.1),(19 658743.56),(20 681426.7),(21 705393.56),(22 723653.2),(23 736648.8),(24 752499.6),(25 773655.25),(26 793727.1),(27 819371.8),(28 844969),(29 876941.3),(30 907125.1),(31 949553.6),(32 988822.4),(33 1023912.1),(34 1069241.9),(35 1122591.4),(36 1169507.4),(37 1224714),(38 1280042.3),(39 1337419.6),(40 1389892.5),(41 1438326.3),(42 1477389.6),(43 1512392.3),(44 1546922.5),(45 1584363.5),(46 1619133.4),(47 1667395.5),(48 1705976.8),(49 1761744.3),(50 1799154.8),(51 1840283.3),(52 1872523),(53 1915576),(54 1956126.4),(55 1986765.4),(56 2025391.6),(57 2057188.8),(58 2096627.8),(59 2133596),(60 2156632.5),(61 2178521.5),(62 2184220.5),(63 2199511),(64 2214929.5),(65 2246504.8),(66 2263988.3),(67 2291724),(68 2325990.5),(69 2357989.5),(70 2386190.5),(71 2418692.5),(72 2453509.5),(73 2499074),(74 2536230.8),(75 2595359.5),(76 2664096.5),(77 2721785.3),(78 2776438),(79 2829897.5),
(1 8139.0903),(2 22582.568),(3 40935.637),(4 60942.582),(5 81676.74),(6 100312.25),(7 120653.68),(8 139896.83),(9 162348.7),(10 179631.08),(11 199533.08),(12 214049.75),(13 227925.67),(14 244584.88),(15 259967.05),(16 281515.16),(17 300795.47),(18 320412.28),(19 341313.03),(20 360435.25),(21 384376.75),(22 408619.5),(23 430800.72),(24 449895.1),(25 467289),(26 481905.4),(27 500246.5),(28 519028.6),(29 537467.06),(30 552596.44),(31 577093.94),(32 599425.56),(33 624739.7),(34 654359.94),(35 691426.4),(36 726174.5),(37 763610),(38 809953.3),(39 849365.56),(40 894290.44),(41 930825.3),(42 966425.5),(43 1005425.5),(44 1036450.94),(45 1067068.1),(46 1099196.5),(47 1144346),(48 1177403.9),(49 1214991),(50 1245417.1),(51 1276478),(52 1307051.4),(53 1341250.9),(54 1365134.1),(55 1392891.9),(56 1423032.4),(57 1449493.1),(58 1476068),(59 1500993.4),(60 1519481.4),(61 1537795.6),(62 1561255.4),(63 1585772.5),(64 1618734.4),(65 1661956),(66 1695344.5),(67 1740032.1),(68 1764153),(69 1805059.6),(70 1837573),(71 1873743),(72 1904404.6),(73 1927077.4),(74 1950285),(75 1979168.4),(76 2015341),(77 2039516),(78 2062134.6),(79 2088552.4),
(1 7702.21),(2 22083.76),(3 40179.883),(4 60330.305),(5 83651.03),(6 104505.26),(7 129967.36),(8 155497.3),(9 183316.44),(10 207301.5),(11 231296.06),(12 251060.33),(13 270932.16),(14 290205.66),(15 311896.84),(16 336811.63),(17 358286.3),(18 381031.63),(19 404871.28),(20 427128.38),(21 451258.84),(22 474738.16),(23 500897.56),(24 521940.22),(25 545418.94),(26 569390.56),(27 595959.9),(28 622662.9),(29 648423.44),(30 668448.75),(31 699130.7),(32 727344.7),(33 763451.56),(34 800644.3),(35 847521.44),(36 881173.75),(37 924973),(38 980522),(39 1032461.3),(40 1094957.6),(41 1156239.8),(42 1205253.4),(43 1265517.4),(44 1318930.9),(45 1370302.5),(46 1428792),(47 1493689.1),(48 1550188.3),(49 1608927.5),(50 1662355.1),(51 1721469.5),(52 1774829.1),(53 1822686),(54 1860591),(55 1896411.4),(56 1931286.3),(57 1961893.8),(58 1984916.5),(59 2004643.5),(60 2015729.5),(61 2020328.5),(62 2026780.3),(63 2034423.1),(64 2040697.4),(65 2055614),(66 2068841.8),(67 2086845.1),(68 2080633.4),(69 2080254.5),(70 2081700.5),(71 2081151.5),(72 2084419.8),(73 2083496.5),(74 2082881.8),(75 2084953.8),(76 2095397.1),(77 2101738),(78 2106745.3),(79 2121690.3),
(1 10768.821),(2 33686.285),(3 65565.98),(4 105343.52),(5 152087.34),(6 196170.64),(7 248935.23),(8 307210.25),(9 370783.97),(10 437295.53),(11 507207.1),(12 567117.8),(13 630931.94),(14 690554.1),(15 754094.4),(16 814085.25),(17 870379.8),(18 922306.94),(19 980148.4),(20 1034095.44),(21 1091902.8),(22 1152523),(23 1219117.8),(24 1276512.5),(25 1337684),(26 1395121.9),(27 1458795),(28 1527637.1),(29 1597378.9),(30 1649431.1),(31 1723066.5),(32 1781966.1),(33 1850544.8),(34 1914620.8),(35 1977681.3),(36 2028193.5),(37 2083250.8),(38 2139055),(39 2192204.5),(40 2252905.8),(41 2311837.8),(42 2352261.8),(43 2397977.3),(44 2430543),(45 2463917.3),(46 2498067.8),(47 2531149),(48 2559893.5),(49 2589537.3),(50 2629751.3),(51 2679838.3),(52 2703846.3),(53 2718967.8),(54 2734502.5),(55 2737245.5),(56 2736816.8),(57 2729729.8),(58 2726173.8),(59 2723392.3),(60 2712284.8),(61 2697713.5),(62 2681927.3),(63 2670189.5),(64 2658989.8),(65 2646614.5),(66 2641778.3),(67 2626593.8),(68 2604284),(69 2584115.8),(70 2556025.8),(71 2528903.5),(72 2507744),(73 2483627),(74 2457650.3),(75 2447734.8),(76 2446475.3),(77 2447781),(78 2451051),(79 2466008.5),
(1 11214.882),(2 35029.117),(3 69976.29),(4 111647.52),(5 157154.95),(6 200091.5),(7 245999.38),(8 294669),(9 346302.2),(10 400954.2),(11 460431.2),(12 507704.9),(13 566348.3),(14 627136),(15 686063.3),(16 740165.6),(17 793215.1),(18 841400.3),(19 902647.6),(20 962002),(21 1035492),(22 1109486),(23 1206765.3),(24 1287720.9),(25 1381483.6),(26 1469342.6),(27 1564180.8),(28 1651717),(29 1737847.4),(30 1814347.4),(31 1891948.8),(32 1951572.4),(33 2008844.3),(34 2049250.4),(35 2083892.3),(36 2116632.5),(37 2150530.5),(38 2175411.8),(39 2201490.3),(40 2216655.8),(41 2223524.8),(42 2227090),(43 2229050.3),(44 2220089),(45 2209921.3),(46 2196088.5),(47 2175231.3),(48 2154214),(49 2133715.8),(50 2110805.5),(51 2081913.6),(52 2060482),(53 2048589.4),(54 2034039.6),(55 2019086),(56 2017822.4),(57 2008830.8),(58 2007871.3),(59 2012651.3),(60 2012285.3),(61 2027951.6),(62 2049124.6),(63 2087644.8),(64 2123454.5),(65 2172346.8),(66 2207549.5),(67 2258560.8),(68 2301243.8),(69 2354427.3),(70 2398629.5),(71 2435206),(72 2482793.3),(73 2535545.8),(74 2585776.8),(75 2642091.3),(76 2695769.8),(77 2737581.5),(78 2787309),(79 2827272),
(1 11327.545),(2 35665.297),(3 71283.6),(4 117249.34),(5 172884.66),(6 225093.61),(7 293920.94),(8 374866.28),(9 465170.97),(10 563337.94),(11 673670.75),(12 770731.3),(13 890598.25),(14 1012516),(15 1140834.3),(16 1265359.8),(17 1378096.1),(18 1480507.8),(19 1584264.3),(20 1690502.6),(21 1812440.8),(22 1935066),(23 2051060.5),(24 2146834),(25 2250793),(26 2347446.3),(27 2445370.5),(28 2534288.5),(29 2600020),(30 2657914.5),(31 2713453.3),(32 2743128),(33 2766816.3),(34 2771708.3),(35 2765948),(36 2755746.5),(37 2745595.5),(38 2720861.3),(39 2688796.3),(40 2642367.5),(41 2597879.8),(42 2552218.5),(43 2496856.3),(44 2441031),(45 2375914.5),(46 2297579.5),(47 2218060.3),(48 2150691),(49 2074751.5),(50 2014014.5),(51 1953971.9),(52 1910613.3),(53 1875084.3),(54 1841409.5),(55 1818806.1),(56 1804794),(57 1793967.1),(58 1790951.8),(59 1796154.9),(60 1808106.9),(61 1836329.5),(62 1871544.3),(63 1917836),(64 1972106.9),(65 2026764.9),(66 2079950),(67 2145518.5),(68 2208803.3),(69 2260247.8),(70 2308467.5),(71 2352486.3),(72 2396755.5),(73 2442547.3),(74 2487639),(75 2535820.3),(76 2591081.3),(77 2634638.8),(78 2676160.5),(79 2732693),
(1 14565.948),(2 44997.957),(3 94087.484),(4 156517.44),(5 229154.19),(6 298230.34),(7 382449.47),(8 473251.28),(9 575853.06),(10 682351),(11 797844.1),(12 895785.25),(13 1009234.1),(14 1129021.8),(15 1261098.8),(16 1391305.8),(17 1522084.8),(18 1630247.9),(19 1759312.6),(20 1882168.8),(21 2018637.8),(22 2140295.3),(23 2260093.5),(24 2358636.8),(25 2455191),(26 2540935),(27 2612181.3),(28 2677300.3),(29 2728497),(30 2769685.3),(31 2795832.5),(32 2810360.5),(33 2816188.3),(34 2810638.5),(35 2787268.5),(36 2760073.5),(37 2717459.3),(38 2657312.5),(39 2593549.8),(40 2515411.3),(41 2443341.8),(42 2372965.8),(43 2306567.8),(44 2243908.5),(45 2175659),(46 2110277.8),(47 2048602),(48 1997976.3),(49 1954023.8),(50 1915750.1),(51 1886276.4),(52 1866320.8),(53 1845521.9),(54 1827535.3),(55 1813772.8),(56 1801599.4),(57 1794902.3),(58 1797617.9),(59 1793772.6),(60 1795712.1),(61 1801470.9),(62 1804356.9),(63 1803795.8),(64 1794783.1),(65 1781757.6),(66 1772081.8),(67 1757812.3),(68 1738484),(69 1710129.4),(70 1677604.3),(71 1645446.1),(72 1619140),(73 1590292.1),(74 1570366.3),(75 1549362.5),(76 1534317.8),(77 1525385.8),(78 1511968),(79 1516603.5),
(1 16678.201),(2 52910.16),(3 111730.945),(4 184952.88),(5 267008.47),(6 346450.34),(7 438354.56),(8 534704),(9 638895.44),(10 746147.25),(11 855526.3),(12 951680.94),(13 1052500.3),(14 1154901.6),(15 1257906.3),(16 1352958.1),(17 1441389.1),(18 1519528),(19 1605094.6),(20 1679365.8),(21 1750819.4),(22 1810401.9),(23 1863307),(24 1899958.1),(25 1924325.9),(26 1943814.6),(27 1957252),(28 1962813),(29 1965150.1),(30 1960698.9),(31 1953726.9),(32 1937615.9),(33 1916911.6),(34 1896530.9),(35 1870886.6),(36 1845676.3),(37 1813609.6),(38 1783536.5),(39 1751218.6),(40 1718576.1),(41 1691186.3),(42 1659922),(43 1631366.9),(44 1608940.3),(45 1581192.5),(46 1555991.6),(47 1534845.5),(48 1518703.8),(49 1499626.5),(50 1477949.9),(51 1454527.4),(52 1439262.4),(53 1421369.8),(54 1408945.8),(55 1387712.1),(56 1370791.6),(57 1353984.6),(58 1338083.9),(59 1318459.3),(60 1301423),(61 1278664),(62 1254414.5),(63 1232991),(64 1210684),(65 1191975.8),(66 1175911),(67 1161671.3),(68 1150974.1),(69 1143275),(70 1140689.9),(71 1146423.5),(72 1153534.1),(73 1173588.3),(74 1194010.8),(75 1218834.4),(76 1244565.6),(77 1275728.9),(78 1305608),(79 1343639.3),
(1 15188.982),(2 49930.82),(3 105967.836),(4 175593.58),(5 254694.92),(6 331489.06),(7 420963.84),(8 519066.22),(9 627732),(10 743232.4),(11 868326.25),(12 973635.25),(13 1095566.3),(14 1222305.4),(15 1344652.9),(16 1457166.5),(17 1558330.6),(18 1639297.8),(19 1717471.9),(20 1784352.6),(21 1841329.3),(22 1883824.5),(23 1908674.3),(24 1915783.8),(25 1915548.9),(26 1907841.8),(27 1892266.3),(28 1869677.5),(29 1828686.5),(30 1795128.5),(31 1739979.5),(32 1672473.9),(33 1603376.6),(34 1539277.5),(35 1477056.3),(36 1424855.5),(37 1371433.8),(38 1321133.1),(39 1274731.1),(40 1234911.4),(41 1204670),(42 1183637.5),(43 1169935.1),(44 1168629.3),(45 1176191.8),(46 1193744.8),(47 1218507.5),(48 1239639.6),(49 1269707.9),(50 1301785.4),(51 1338103.8),(52 1379449.8),(53 1420037.5),(54 1459270.1),(55 1490304.5),(56 1524886.8),(57 1554153.5),(58 1574189.4),(59 1587556.4),(60 1596351.8),(61 1588674),(62 1573544.9),(63 1549515.9),(64 1523460.3),(65 1488587.1),(66 1458262),(67 1420898.3),(68 1376210),(69 1324040.1),(70 1272530.6),(71 1224018.3),(72 1185747.4),(73 1148222),(74 1112049.8),(75 1081692),(76 1055690.1),(77 1036439.1),(78 1022324.25),(79 1018427.75),
(1 17643.332),(2 56615.063),(3 120135.766),(4 203275.73),(5 304822.34),(6 398777.9),(7 515782.47),(8 644378.1),(9 792534.25),(10 945293.9),(11 1109510.4),(12 1247035.4),(13 1403341.8),(14 1561978.9),(15 1706828),(16 1839944.3),(17 1956239.8),(18 2044704),(19 2111092.3),(20 2160602.8),(21 2190500.8),(22 2203202.3),(23 2184791),(24 2163547.3),(25 2124693.8),(26 2070133),(27 2008852.8),(28 1933117.3),(29 1846151.9),(30 1777079.1),(31 1692812),(32 1607957),(33 1523033.4),(34 1453552.1),(35 1398398.3),(36 1353475.5),(37 1324953.4),(38 1318648.4),(39 1326753.8),(40 1349313.6),(41 1381586.4),(42 1416959.1),(43 1470706.4),(44 1537205.3),(45 1619429.4),(46 1705972.6),(47 1798984.8),(48 1876933.9),(49 1971433.4),(50 2062928.8),(51 2150738.5),(52 2229783),(53 2291202),(54 2346091.3),(55 2380963.5),(56 2405272.3),(57 2426248.5),(58 2424421.8),(59 2409558),(60 2391084.3),(61 2360433.8),(62 2315625),(63 2251939.5),(64 2189380.8),(65 2123882),(66 2066207.5),(67 2003474.9),(68 1933816.6),(69 1861029.1),(70 1790909.4),(71 1723920.5),(72 1673432.5),(73 1622460.6),(74 1576087.1),(75 1537632.4),(76 1511114.3),(77 1494508),(78 1480431.9),(79 1475370.1),
