1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12221.398),(2 38387.645),(3 81419.1),(4 129699.69),(5 187098.61),(6 247245.31),(7 313965.97),(8 378076.6),(9 445839.84),(10 516405.47),(11 584646.1),(12 640717.25),(13 694420.7),(14 738667.7),(15 785705.44),(16 828702.2),(17 871358.94),(18 914732.06),(19 962316.5),(20 1015532.7),(21 1074218.9),(22 1128273.9),(23 1180354.5),(24 1218876.9),(25 1261977.6),(26 1289856.8),(27 1324690.1),(28 1342499.6),(29 1362878.8),(30 1376873.6),(31 1394177.1),(32 1409529),(33 1422840),(34 1435817),(35 1453504.6),(36 1477454.4),(37 1521167.6),(38 1570257.4),(39 1640558),(40 1705498),(41 1781788),(42 1853193),(43 1914453.6),(44 1960660.4),(45 2008279.1),(46 2055442.4),(47 2112688.3),(48 2169999),(49 2243773.8),(50 2318919.3),(51 2416307),(52 2508559.8),(53 2612300.3),(54 2710036.8),(55 2813161.3),(56 2941027),(57 3066708.3),(58 3193752.8),(59 3326609.8),(60 3443486.3),(61 3573595.3),(62 3687552.3),(63 3823830.3),(64 3942799.8),(65 4076053),(66 4211736.5),(67 4351732.5),(68 4497064.5),(69 4638340),(70 4774714.5),(71 4929546.5),(72 5083663),(73 5229181.5),(74 5362923.5),(75 5546403.5),(76 5707982.5),(77 5869045.5),(78 6016686.5),(79 6163455.5),
(1 12997.428),(2 44971.344),(3 98506.89),(4 158623.7),(5 228132.16),(6 301601.56),(7 388529.78),(8 482273.1),(9 589584.4),(10 703972.5),(11 829557.4),(12 960491.6),(13 1094562.3),(14 1228022.8),(15 1370409.3),(16 1516166.6),(17 1664564.8),(18 1810891.4),(19 1966619),(20 2118608.5),(21 2274897.5),(22 2429067.8),(23 2590660),(24 2746634),(25 2904674.5),(26 3067394.5),(27 3237394.3),(28 3392343.3),(29 3546349.5),(30 3684577.3),(31 3831398.8),(32 3966545.3),(33 4114167.3),(34 4233467),(35 4361309),(36 4485278),(37 4617406),(38 4748732),(39 4899572.5),(40 5033038.5),(41 5177325),(42 5284240),(43 5411415),(44 5512669.5),(45 5620071.5),(46 5709206.5),(47 5803339),(48 5897645.5),(49 5998106),(50 6080261),(51 6179340),(52 6261633.5),(53 6356406.5),(54 6431339.5),(55 6529216.5),(56 6636491),(57 6753221),(58 6835847),(59 6936368),(60 7008697.5),(61 7076979),(62 7128338.5),(63 7192960),(64 7241810.5),(65 7295179),(66 7332129),(67 7393016),(68 7438236),(69 7490346.5),(70 7511126.5),(71 7552331),(72 7578667),(73 7614926.5),(74 7656075),(75 7718523),(76 7778324),(77 7838295),(78 7874569),(79 7943382.5),
(1 11329.737),(2 40642.027),(3 87160.914),(4 148223.42),(5 220889.55),(6 299232.4),(7 387450.16),(8 488547.78),(9 596678.94),(10 714713.25),(11 835799.5),(12 962326.06),(13 1094794.1),(14 1230260.5),(15 1377971.4),(16 1535826.1),(17 1694044),(18 1863149.1),(19 2040690),(20 2217335.8),(21 2389331.3),(22 2566082),(23 2743522),(24 2926071),(25 3104968),(26 3291069),(27 3494428.8),(28 3687254.8),(29 3869559.8),(30 4048954.3),(31 4234351.5),(32 4430073.5),(33 4641962),(34 4836340),(35 5032274.5),(36 5231280),(37 5449837),(38 5673538),(39 5917613.5),(40 6153148.5),(41 6406946.5),(42 6626891.5),(43 6861380),(44 7089253.5),(45 7332183.5),(46 7558494.5),(47 7800521.5),(48 8038437.5),(49 8285129.5),(50 8520799),(51 8789132),(52 9037473),(53 9281020),(54 9510689),(55 9767123),(56 10037037),(57 10309375),(58 10549377),(59 10815351),(60 11057632),(61 11282949),(62 11489444),(63 11699080),(64 11897603),(65 12096265),(66 12255059),(67 12433147),(68 12589571),(69 12743779),(70 12830989),(71 12944123),(72 13010916),(73 13079869),(74 13142999),(75 13202171),(76 13246481),(77 13267400),(78 13222856),(79 13193833),
(1 13069.548),(2 48458.234),(3 104084.445),(4 175679.55),(5 261013.17),(6 353448),(7 454940.88),(8 565166.56),(9 680618.1),(10 805254.75),(11 939628),(12 1083266.9),(13 1236101.4),(14 1394364),(15 1572642.1),(16 1757986.4),(17 1951558),(18 2162742.5),(19 2384685),(20 2614188.5),(21 2858249.8),(22 3111293.8),(23 3363650.5),(24 3628022.8),(25 3889550.3),(26 4150142.8),(27 4435266),(28 4722594),(29 5016091.5),(30 5319205.5),(31 5640665.5),(32 5963592.5),(33 6308126.5),(34 6598770.5),(35 6890578.5),(36 7169295.5),(37 7456423.5),(38 7735740.5),(39 8019842),(40 8279052.5),(41 8550592),(42 8798887),(43 9040153),(44 9275847),(45 9495117),(46 9692217),(47 9863398),(48 10015359),(49 10145596),(50 10254452),(51 10370443),(52 10448178),(53 10489135),(54 10514377),(55 10542048),(56 10547351),(57 10560521),(58 10554206),(59 10555595),(60 10543115),(61 10517385),(62 10467225),(63 10417206),(64 10352981),(65 10294338),(66 10235303),(67 10174988),(68 10121262),(69 10058278),(70 9996425),(71 9937860),(72 9861975),(73 9799291),(74 9730903),(75 9659754),(76 9584825),(77 9525172),(78 9447764),(79 9360077),
(1 14362.793),(2 52269.016),(3 109919.23),(4 182446),(5 267455.78),(6 363115.84),(7 469942.78),(8 588901.94),(9 714691.75),(10 852969.44),(11 1002561.94),(12 1166100.9),(13 1338520.9),(14 1515665),(15 1704898),(16 1896223.1),(17 2091254.1),(18 2291050.3),(19 2494530.3),(20 2701656.8),(21 2920869.3),(22 3141050.5),(23 3372667.8),(24 3614663.3),(25 3861541.8),(26 4107779),(27 4370025.5),(28 4643159.5),(29 4924495.5),(30 5214547),(31 5512346),(32 5803723.5),(33 6104256),(34 6372634),(35 6641526),(36 6901357),(37 7175857.5),(38 7445079.5),(39 7709114),(40 7950938),(41 8195642),(42 8416134),(43 8631149),(44 8832324),(45 9001243),(46 9144321),(47 9269497),(48 9383853),(49 9485980),(50 9578375),(51 9683649),(52 9771105),(53 9841204),(54 9910077),(55 9967297),(56 10010382),(57 10056399),(58 10094604),(59 10136574),(60 10180980),(61 10225993),(62 10264995),(63 10324861),(64 10372287),(65 10422909),(66 10466035),(67 10512293),(68 10553905),(69 10594491),(70 10636669),(71 10691322),(72 10717318),(73 10749123),(74 10770741),(75 10772761),(76 10751770),(77 10720737),(78 10656320),(79 10561697),
(1 16982.535),(2 63017.55),(3 136110.78),(4 230774.38),(5 345056.9),(6 476078.8),(7 623702.5),(8 791434.6),(9 973002.6),(10 1165950.5),(11 1374686),(12 1598085.8),(13 1829596.4),(14 2068842),(15 2317158.8),(16 2562221.8),(17 2813462),(18 3061311.3),(19 3302237),(20 3543395.5),(21 3789292.5),(22 4025042.5),(23 4265713.5),(24 4502342.5),(25 4741287),(26 4963075),(27 5191745),(28 5402445.5),(29 5616487),(30 5812974.5),(31 6003511),(32 6182821),(33 6336537),(34 6468205.5),(35 6601452),(36 6742537),(37 6873931),(38 6992281),(39 7108528),(40 7195963),(41 7283738.5),(42 7339858.5),(43 7396107),(44 7423458.5),(45 7431229),(46 7415658.5),(47 7395682.5),(48 7352016),(49 7300173.5),(50 7234664),(51 7177777.5),(52 7112872),(53 7044847),(54 6964781),(55 6885223),(56 6792216),(57 6708247),(58 6633011),(59 6573841.5),(60 6513467),(61 6468015),(62 6421611),(63 6406217.5),(64 6392023),(65 6410498.5),(66 6444975),(67 6506057),(68 6569498.5),(69 6646213.5),(70 6738062.5),(71 6864867),(72 6990745.5),(73 7129617),(74 7262747),(75 7407833.5),(76 7530041.5),(77 7657801.5),(78 7763757),(79 7853094.5),
(1 15649.349),(2 58804.477),(3 127686.984),(4 218029.53),(5 329735.94),(6 454003.06),(7 591144.25),(8 744700),(9 909161.56),(10 1086626.3),(11 1272982.3),(12 1467095.1),(13 1670338.3),(14 1878630.3),(15 2095893.1),(16 2309484.8),(17 2525565.5),(18 2741395.8),(19 2952477.5),(20 3168300),(21 3382461.8),(22 3587037.5),(23 3783069.3),(24 3973112.3),(25 4153327),(26 4316371),(27 4477564),(28 4640704.5),(29 4801586),(30 4948829),(31 5082256.5),(32 5195447),(33 5286688.5),(34 5367829.5),(35 5445758),(36 5527763),(37 5614545),(38 5701352.5),(39 5783140.5),(40 5856410.5),(41 5925826.5),(42 5991141),(43 6063275.5),(44 6146080),(45 6214730.5),(46 6280369),(47 6354858.5),(48 6433647.5),(49 6510981),(50 6575002.5),(51 6649739.5),(52 6722742),(53 6794312.5),(54 6864413.5),(55 6949568),(56 7037661.5),(57 7119112),(58 7203672),(59 7288771.5),(60 7353458.5),(61 7408919),(62 7443799),(63 7488270),(64 7509594.5),(65 7527405.5),(66 7523429.5),(67 7519408.5),(68 7503680),(69 7487547.5),(70 7458719),(71 7432063),(72 7395760),(73 7361273),(74 7333460.5),(75 7307767),(76 7258167.5),(77 7206393),(78 7153197),(79 7089777),
(1 16527.04),(2 61764.16),(3 132929.08),(4 224141.92),(5 335304.2),(6 460261.34),(7 600008.1),(8 752799.6),(9 914561.44),(10 1084475.5),(11 1261695.3),(12 1448612.3),(13 1642958.6),(14 1842152.1),(15 2044680),(16 2243249.8),(17 2443677),(18 2640396.8),(19 2835306.5),(20 3022701),(21 3206284.3),(22 3370266.8),(23 3524355.3),(24 3661507.3),(25 3784254.3),(26 3892448.3),(27 3990031),(28 4085598.8),(29 4173680.5),(30 4237899.5),(31 4292891.5),(32 4325042.5),(33 4343972.5),(34 4341066.5),(35 4328571.5),(36 4311521),(37 4285285.5),(38 4245459.5),(39 4196688),(40 4143303),(41 4094660.5),(42 4032325.8),(43 3979933.8),(44 3931203),(45 3883202.3),(46 3835500.8),(47 3801757),(48 3772381.8),(49 3754139.3),(50 3735834.8),(51 3729829.8),(52 3735953),(53 3762625),(54 3796946.8),(55 3849985.5),(56 3913532.3),(57 3986298.5),(58 4060300),(59 4143661),(60 4227825.5),(61 4311809),(62 4385053),(63 4462911),(64 4524571.5),(65 4581326),(66 4621428.5),(67 4651733),(68 4662130),(69 4661115.5),(70 4640853.5),(71 4616049.5),(72 4567267.5),(73 4514125),(74 4445247),(75 4363840),(76 4271387.5),(77 4171794.3),(78 4059746.5),(79 3947984.3),
(1 19226.434),(2 72574.07),(3 156534.66),(4 265759.94),(5 399325.56),(6 548837.9),(7 715424.75),(8 901833),(9 1104491.8),(10 1320385),(11 1548870.1),(12 1789681),(13 2041218.1),(14 2294321.5),(15 2555360.5),(16 2813836.3),(17 3077171.8),(18 3333821.3),(19 3587224.5),(20 3834421.8),(21 4080575),(22 4313791),(23 4536696.5),(24 4751121),(25 4949920.5),(26 5127155.5),(27 5296390.5),(28 5453427.5),(29 5605518.5),(30 5736569),(31 5854684.5),(32 5951948.5),(33 6031559),(34 6082628.5),(35 6115014),(36 6139955.5),(37 6146492),(38 6135896.5),(39 6106063.5),(40 6058295.5),(41 6002956),(42 5934192),(43 5870136.5),(44 5804003),(45 5727652.5),(46 5649111.5),(47 5579989),(48 5517374),(49 5463884),(50 5407699),(51 5360770),(52 5310257),(53 5261105.5),(54 5219663),(55 5189765.5),(56 5166995),(57 5151479.5),(58 5125817.5),(59 5112289),(60 5089859),(61 5073684.5),(62 5049292),(63 5023876),(64 4995641.5),(65 4959372),(66 4914425),(67 4863942.5),(68 4813620),(69 4766647),(70 4716164.5),(71 4655430),(72 4589053.5),(73 4520253),(74 4454311.5),(75 4389584),(76 4307263),(77 4226479),(78 4145161.5),(79 4082837.3),
(1 19938.766),(2 73963.46),(3 158208.52),(4 266700.72),(5 396335.06),(6 539855.9),(7 693888.7),(8 859283.1),(9 1030073.3),(10 1206056.5),(11 1389590.1),(12 1577796),(13 1765273.4),(14 1951287.1),(15 2135451.5),(16 2308760.5),(17 2479030.8),(18 2626944.5),(19 2761662.5),(20 2880209.8),(21 2995485),(22 3103913),(23 3207488.5),(24 3306318.8),(25 3409180.8),(26 3511083.5),(27 3610608.8),(28 3709518.3),(29 3807220.5),(30 3892649.8),(31 3976895),(32 4052025.3),(33 4118401),(34 4177313.3),(35 4237782.5),(36 4291700),(37 4339734),(38 4381235),(39 4412178.5),(40 4435690.5),(41 4465671.5),(42 4494825),(43 4522048),(44 4551446),(45 4571419.5),(46 4588379),(47 4616602.5),(48 4641814),(49 4672237),(50 4683838),(51 4696175),(52 4705011.5),(53 4720540.5),(54 4738234.5),(55 4764003),(56 4793698),(57 4828667),(58 4859410.5),(59 4896792),(60 4928886),(61 4970907.5),(62 5003170),(63 5027506),(64 5047338.5),(65 5064213.5),(66 5070938),(67 5068636.5),(68 5060728),(69 5044783),(70 5011315.5),(71 4969067.5),(72 4921354),(73 4861306.5),(74 4794391),(75 4729579.5),(76 4648682.5),(77 4563485.5),(78 4475648),(79 4395602),
(1 19707.453),(2 74336.97),(3 158092.47),(4 267098.34),(5 395420.6),(6 536528.06),(7 688951.2),(8 852028.25),(9 1019149.44),(10 1191305.1),(11 1363949),(12 1538223.9),(13 1711825.6),(14 1880517.4),(15 2047086.6),(16 2209517.5),(17 2368019.8),(18 2517607.5),(19 2657326.8),(20 2791898.5),(21 2929903),(22 3055797.3),(23 3165779.3),(24 3269526),(25 3364455),(26 3450055.5),(27 3533364),(28 3608298),(29 3680818),(30 3756004.8),(31 3831048),(32 3908089.8),(33 3978870.5),(34 4033402.8),(35 4075934),(36 4120016),(37 4155618.3),(38 4184095),(39 4200118.5),(40 4201048.5),(41 4186561.5),(42 4154724.3),(43 4119007),(44 4070515.8),(45 4013151),(46 3953452.3),(47 3900557.3),(48 3847199.5),(49 3795011),(50 3738568.3),(51 3696805.3),(52 3654988.3),(53 3612210),(54 3566416.8),(55 3527582.8),(56 3496855.8),(57 3476548.3),(58 3449594),(59 3430455.3),(60 3413198),(61 3400722),(62 3386762.3),(63 3369733.3),(64 3351733.3),(65 3330801.5),(66 3305245.3),(67 3275820),(68 3238045.3),(69 3199171.8),(70 3155338),(71 3103700.3),(72 3046043.8),(73 2990267),(74 2932850.3),(75 2883098),(76 2829321.5),(77 2782546),(78 2730836.5),(79 2678060),
