1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11518.023),(2 27866.438),(3 58557.418),(4 86727.26),(5 126126.664),(6 164013.77),(7 210988.08),(8 249709.69),(9 295101.25),(10 331323.56),(11 375693.1),(12 413118.4),(13 459157.5),(14 493214.5),(15 527771.1),(16 558352.56),(17 589518.56),(18 613074.56),(19 644474.56),(20 671405.06),(21 709830.5),(22 749644),(23 795935.5),(24 837109),(25 889905.7),(26 937274.8),(27 994290.8),(28 1053277.9),(29 1129710),(30 1205322.9),(31 1283194),(32 1354990.9),(33 1433190.6),(34 1501605.6),(35 1577128),(36 1646905.6),(37 1730749.1),(38 1801161.4),(39 1870423.9),(40 1936761.4),(41 2007904),(42 2066768.6),(43 2118873.8),(44 2156081.8),(45 2207587.3),(46 2244139),(47 2279128),(48 2289752),(49 2313054.8),(50 2318004),(51 2316769.5),(52 2300502),(53 2290397.3),(54 2265740.3),(55 2248108.8),(56 2217189.3),(57 2199817.8),(58 2163334.8),(59 2148428),(60 2137083),(61 2132980.3),(62 2121107),(63 2127634.8),(64 2119232.5),(65 2133682.8),(66 2132127.3),(67 2133703),(68 2118710.8),(69 2137657),(70 2138164.8),(71 2163702),(72 2180455.8),(73 2221137.3),(74 2240845.8),(75 2279313.8),(76 2305632.8),(77 2363741.3),(78 2395085.3),(79 2463351.3),
(1 8056.7056),(2 24739.307),(3 49529.957),(4 80178.46),(5 120734.05),(6 164135.84),(7 212778.78),(8 262569.2),(9 313996.94),(10 361768.56),(11 411374.63),(12 459653.6),(13 516268.9),(14 568583.6),(15 624837.5),(16 682977.9),(17 746539.9),(18 804596.9),(19 869898.6),(20 937043.5),(21 1016352.4),(22 1101119.3),(23 1194023.3),(24 1286301.4),(25 1381666.6),(26 1474889.8),(27 1563886.8),(28 1656946.4),(29 1760374.6),(30 1867754.3),(31 1978030.8),(32 2079153.8),(33 2183485.3),(34 2283392),(35 2384397),(36 2476134),(37 2575499.5),(38 2673852.8),(39 2779512.3),(40 2873971.5),(41 2960679),(42 3030886.3),(43 3097548.8),(44 3154981.5),(45 3203116.8),(46 3246242.8),(47 3298815.3),(48 3339463.3),(49 3389643.3),(50 3423931.5),(51 3448461.3),(52 3463778.5),(53 3478612.8),(54 3485449.3),(55 3497998.8),(56 3497489.5),(57 3494096.5),(58 3486394.5),(59 3477608),(60 3460874.8),(61 3445259.3),(62 3421173.5),(63 3414062.5),(64 3401590.5),(65 3397556.8),(66 3394877.3),(67 3396088),(68 3390248),(69 3393698),(70 3399532),(71 3418158.5),(72 3434695.3),(73 3468976.8),(74 3501721.3),(75 3545779.5),(76 3580750.8),(77 3615460.8),(78 3642078),(79 3680975.3),
(1 6853.486),(2 21766.256),(3 43990.863),(4 73947.31),(5 110063.23),(6 152701.55),(7 201486.83),(8 256394.13),(9 312435.78),(10 373869.1),(11 440998),(12 514001.38),(13 592347.5),(14 674564.56),(15 764500.2),(16 859000.06),(17 955750.75),(18 1054437.5),(19 1158116),(20 1261556.9),(21 1372624.1),(22 1484754.1),(23 1607971.6),(24 1726305),(25 1852425.9),(26 1983418),(27 2119893.8),(28 2250248),(29 2386588.8),(30 2533544.3),(31 2697925.3),(32 2861784.8),(33 3026482),(34 3199858.3),(35 3373351.8),(36 3539109.8),(37 3703462),(38 3869478.8),(39 4055587),(40 4214502.5),(41 4360589.5),(42 4498638.5),(43 4640507.5),(44 4778215.5),(45 4912940.5),(46 5035587.5),(47 5166346.5),(48 5277999),(49 5395269.5),(50 5498598),(51 5594243.5),(52 5671934.5),(53 5752464),(54 5813766),(55 5872702.5),(56 5916409.5),(57 5953494.5),(58 5994824.5),(59 6037109.5),(60 6060090.5),(61 6081162),(62 6090628),(63 6115670.5),(64 6132997.5),(65 6154794.5),(66 6174293.5),(67 6197677.5),(68 6224292.5),(69 6240028.5),(70 6253536.5),(71 6264666.5),(72 6262708),(73 6286725.5),(74 6295800.5),(75 6308011.5),(76 6296033.5),(77 6290916),(78 6287272),(79 6294554.5),
(1 8566.584),(2 29138.71),(3 61060.797),(4 100502.03),(5 146593.05),(6 200602.08),(7 262380.06),(8 329571.13),(9 401798.3),(10 481443.16),(11 568814.2),(12 660188.75),(13 755589.1),(14 856965.75),(15 970948.75),(16 1087440.5),(17 1210402.3),(18 1337948.5),(19 1476695.5),(20 1617695.6),(21 1770097.8),(22 1922897.8),(23 2089424),(24 2248982.8),(25 2416177.3),(26 2591835.5),(27 2781180),(28 2963162.8),(29 3148839.3),(30 3339891),(31 3539127.3),(32 3739651.5),(33 3937273.8),(34 4137210.8),(35 4346306),(36 4556528),(37 4756248.5),(38 4963468.5),(39 5173097.5),(40 5348529.5),(41 5513930),(42 5667172),(43 5831699.5),(44 5989873),(45 6145975),(46 6294426),(47 6442732.5),(48 6565873),(49 6682125.5),(50 6790830.5),(51 6894687),(52 6989243.5),(53 7083162.5),(54 7171762),(55 7265808),(56 7346186),(57 7416176),(58 7494722),(59 7565342),(60 7613236.5),(61 7680389.5),(62 7759077.5),(63 7851187.5),(64 7929614),(65 7996963.5),(66 8072068.5),(67 8150449),(68 8219379.5),(69 8280509.5),(70 8347028.5),(71 8412220),(72 8466803),(73 8528085),(74 8570660),(75 8613504),(76 8635769),(77 8658491),(78 8684917),(79 8709840),
(1 7424.059),(2 24672.906),(3 49537.26),(4 78493.78),(5 112299.2),(6 150106.73),(7 192477.23),(8 237932.84),(9 288786.47),(10 345120.22),(11 407604.8),(12 474812),(13 547739.2),(14 627339.94),(15 716891.56),(16 811475.6),(17 914491.75),(18 1017570.2),(19 1131942),(20 1245154.9),(21 1366338.3),(22 1489675.3),(23 1627168.4),(24 1760022),(25 1901893.1),(26 2050549.5),(27 2218794.3),(28 2388040.5),(29 2563985),(30 2746827),(31 2940313.8),(32 3126612.8),(33 3312339),(34 3489812.3),(35 3681485),(36 3865540.8),(37 4044116.3),(38 4222492.5),(39 4398910.5),(40 4547031.5),(41 4691700.5),(42 4835050),(43 4989676.5),(44 5136179.5),(45 5280533),(46 5421294.5),(47 5564795),(48 5675299.5),(49 5781083),(50 5883913.5),(51 5979621),(52 6067995.5),(53 6161720),(54 6239889.5),(55 6317640.5),(56 6374349),(57 6426014.5),(58 6462782),(59 6501779),(60 6527971),(61 6562267.5),(62 6583921.5),(63 6610247.5),(64 6630678.5),(65 6635864),(66 6644624),(67 6646941),(68 6637198.5),(69 6629439.5),(70 6624047.5),(71 6623995),(72 6624739.5),(73 6628761.5),(74 6619750),(75 6608742),(76 6594001.5),(77 6583183.5),(78 6586337.5),(79 6596200.5),
(1 8408.799),(2 30159.322),(3 64301.55),(4 105339.75),(5 152743.53),(6 204981.2),(7 262789.2),(8 325129.94),(9 392760.25),(10 465375),(11 545567.2),(12 628654.9),(13 718701),(14 813331.8),(15 911694.7),(16 1011637.7),(17 1115080.3),(18 1218563.8),(19 1323399),(20 1428217.4),(21 1539296.8),(22 1656602.8),(23 1780608.8),(24 1899429.6),(25 2025997.6),(26 2158667.5),(27 2309576),(28 2465311.5),(29 2627441.5),(30 2796849.8),(31 2971702.8),(32 3148004.8),(33 3329394.5),(34 3511826.8),(35 3705853.5),(36 3893763.5),(37 4072003.3),(38 4250836.5),(39 4434172),(40 4602524),(41 4786999),(42 4983469),(43 5210023),(44 5428221),(45 5638802.5),(46 5838883),(47 6036392),(48 6203448.5),(49 6360111),(50 6514945),(51 6663801),(52 6817657),(53 6966220),(54 7107227),(55 7237068),(56 7352883),(57 7477006.5),(58 7603972),(59 7738873),(60 7855913.5),(61 7973134.5),(62 8082345),(63 8186836),(64 8251213.5),(65 8310357),(66 8361292),(67 8409880),(68 8443690),(69 8483245),(70 8530186),(71 8569987),(72 8599926),(73 8633006),(74 8643978),(75 8652255),(76 8638302),(77 8619700),(78 8584075),(79 8541054),
(1 9033.786),(2 30662.135),(3 64099.098),(4 106160.82),(5 156254.6),(6 213260.4),(7 276596.25),(8 344632.3),(9 417777.88),(10 499299.2),(11 588812.44),(12 681721.7),(13 777116.4),(14 882065.56),(15 991098.75),(16 1097806.5),(17 1209890.9),(18 1324110.6),(19 1442568.5),(20 1557118.9),(21 1675898.5),(22 1801725.9),(23 1923594.3),(24 2042164.9),(25 2166143.5),(26 2284390.5),(27 2411463.8),(28 2537549.8),(29 2661982.3),(30 2786133.8),(31 2906843.8),(32 3023783.8),(33 3135379.5),(34 3236766.8),(35 3340562.8),(36 3439606.8),(37 3538243),(38 3628775.5),(39 3707889.5),(40 3785033.5),(41 3854348.3),(42 3920348.5),(43 3994898.8),(44 4060923),(45 4118566.3),(46 4164177.8),(47 4210518),(48 4253838),(49 4294534),(50 4334069),(51 4380084),(52 4418945),(53 4452069),(54 4479705),(55 4516918),(56 4546843.5),(57 4580292),(58 4611121),(59 4643056.5),(60 4668600.5),(61 4702315.5),(62 4733990.5),(63 4773175),(64 4806901),(65 4851328),(66 4898899.5),(67 4957566.5),(68 5015768.5),(69 5075986),(70 5135540.5),(71 5191228.5),(72 5240398),(73 5288936),(74 5332726),(75 5376287.5),(76 5412043),(77 5448802.5),(78 5479330.5),(79 5512279),
(1 12004.412),(2 43796.61),(3 95288.77),(4 162004.16),(5 243309.86),(6 339738.88),(7 450682.84),(8 572169.44),(9 705391.75),(10 853991.44),(11 1017718.1),(12 1190594.9),(13 1374831.4),(14 1562409.9),(15 1757130.6),(16 1952808.3),(17 2153705.8),(18 2344868.3),(19 2539699.5),(20 2727847.5),(21 2919508.3),(22 3111429.3),(23 3299977.5),(24 3479355.3),(25 3650545),(26 3806420.8),(27 3960192),(28 4101969.5),(29 4245598),(30 4387581.5),(31 4513055.5),(32 4625882.5),(33 4731806),(34 4823801.5),(35 4907568),(36 4979962.5),(37 5037603.5),(38 5083250),(39 5124182.5),(40 5163319.5),(41 5206977),(42 5238997),(43 5262942),(44 5287423.5),(45 5305638),(46 5314208),(47 5314817),(48 5308669.5),(49 5291891),(50 5270752.5),(51 5238288),(52 5207587),(53 5167314),(54 5118724.5),(55 5072009),(56 5028405),(57 4981240),(58 4930783),(59 4868404.5),(60 4801457.5),(61 4734361.5),(62 4656554.5),(63 4582979),(64 4508642.5),(65 4439670.5),(66 4373003.5),(67 4314363.5),(68 4251705.5),(69 4203944.5),(70 4165890.5),(71 4135275.8),(72 4113784.5),(73 4094045.3),(74 4083361.3),(75 4075278.5),(76 4077086.8),(77 4084720),(78 4096068),(79 4117129.5),
(1 12246.009),(2 43834.902),(3 94476.57),(4 162122.17),(5 245817.8),(6 342778.25),(7 454535.9),(8 575753.1),(9 710326.5),(10 853954),(11 1005317.06),(12 1165024.3),(13 1330299.8),(14 1499456.8),(15 1671687.3),(16 1843667.3),(17 2011862.6),(18 2176847.3),(19 2343920.8),(20 2506096.5),(21 2658687.8),(22 2809701.8),(23 2954512.3),(24 3090976.5),(25 3214767.5),(26 3327000),(27 3429578.5),(28 3526214.5),(29 3616049.5),(30 3701212.8),(31 3778746.8),(32 3843626.3),(33 3905954.8),(34 3956344.5),(35 4005394),(36 4041080.5),(37 4063361.5),(38 4077991.5),(39 4088063.5),(40 4099480.5),(41 4110924.3),(42 4125160.5),(43 4144951.5),(44 4170396.3),(45 4197572),(46 4219609.5),(47 4245731),(48 4267392),(49 4274605),(50 4281228),(51 4285174.5),(52 4285087.5),(53 4282796),(54 4275475),(55 4276836.5),(56 4278477.5),(57 4286203.5),(58 4299572.5),(59 4312604.5),(60 4311383),(61 4316753),(62 4319602),(63 4322803.5),(64 4313252.5),(65 4296552.5),(66 4275562),(67 4249908),(68 4224255),(69 4193339.3),(70 4169352),(71 4151788.3),(72 4143914),(73 4138033),(74 4129639.5),(75 4123250.8),(76 4116561),(77 4113974),(78 4106791.5),(79 4093799),
(1 11750.448),(2 41818.81),(3 89920.67),(4 153045.47),(5 233419.72),(6 325435.13),(7 432020.66),(8 548934.2),(9 675090.6),(10 812795),(11 961256.7),(12 1117180.5),(13 1285275.6),(14 1456534.6),(15 1636631.9),(16 1812812.3),(17 1994884.6),(18 2179865.8),(19 2366663),(20 2549473),(21 2721769),(22 2885282.3),(23 3048557.8),(24 3196076.8),(25 3332306.5),(26 3458705.5),(27 3577419.8),(28 3687790.5),(29 3784080),(30 3871176),(31 3947991),(32 4003561.8),(33 4045260),(34 4069361),(35 4084721),(36 4088974.3),(37 4083680),(38 4068803.5),(39 4046054.3),(40 4016123.5),(41 3984353),(42 3953371.5),(43 3921110.3),(44 3888141.8),(45 3852600),(46 3817083),(47 3779689.8),(48 3736726.3),(49 3687084.5),(50 3637981),(51 3587940.3),(52 3532262.8),(53 3476079),(54 3422921.3),(55 3379309.5),(56 3332953.8),(57 3292983),(58 3250470.3),(59 3215544.3),(60 3176366.3),(61 3143986.3),(62 3115776.5),(63 3091669.5),(64 3071175),(65 3054331.5),(66 3041811.3),(67 3035940),(68 3036827.8),(69 3043536),(70 3058068.8),(71 3077755.8),(72 3102611.5),(73 3135537),(74 3165028),(75 3191919),(76 3219153.3),(77 3254142.5),(78 3294983.3),(79 3330785),
(1 11651.136),(2 40822.145),(3 86868.336),(4 146974.61),(5 222050.1),(6 308252.97),(7 406589.13),(8 514884.34),(9 633736.7),(10 759188),(11 895180.6),(12 1031348.8),(13 1175889.3),(14 1320510),(15 1467300.3),(16 1611217.4),(17 1756835.9),(18 1900983.1),(19 2049124.8),(20 2188713),(21 2325232.8),(22 2454929),(23 2588713),(24 2715896.5),(25 2832734.8),(26 2943156.8),(27 3048150.3),(28 3143969),(29 3226067.3),(30 3297497.3),(31 3353848.5),(32 3401135.5),(33 3432694.8),(34 3448886),(35 3461620),(36 3467477.5),(37 3469115.8),(38 3464233.8),(39 3450650),(40 3438603.3),(41 3425435.8),(42 3414266.5),(43 3407069.5),(44 3393215.8),(45 3377540.3),(46 3358494.5),(47 3338353.3),(48 3323563.3),(49 3306802),(50 3295208),(51 3287403.8),(52 3275060),(53 3264069.8),(54 3258578),(55 3269153),(56 3271856.5),(57 3278910),(58 3287918.5),(59 3300216.5),(60 3310602.3),(61 3319113.3),(62 3316262.5),(63 3305491.8),(64 3291571.3),(65 3273150),(66 3245433),(67 3210272.8),(68 3166650),(69 3118695),(70 3060744.5),(71 2995705.8),(72 2927915.5),(73 2857014.8),(74 2783509.8),(75 2705154.3),(76 2625996),(77 2544281),(78 2467198.3),(79 2394614.3),
