1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 279164.78),(2 1047016.25),(3 2307880.3),(4 4180321.3),(5 6504397.5),(6 9161399),(7 12096508),(8 15430108),(9 19111016),(10 22991222),(11 27080752),(12 31263784),(13 35735428),(14 40006424),(15 44047268),(16 48064196),(17 52280820),(18 56450236),(19 60972444),(20 65711700),(21 70583016),(22 75494536),(23 80403320),(24 85104860),(25 89426930),(26 93171490),(27 96581310),(28 99958460),(29 103438660),(30 106580670),(31 109915670),(32 113077820),(33 115995910),(34 118699140),(35 121219450),(36 123443560),(37 125405210),(38 127013630),(39 128119190),(40 129064216),(41 129882536),(42 130567576),(43 130099304),(44 129664380),(45 129096744),(46 128337250),(47 127570340),(48 126588520),(49 125590470),(50 124272830),(51 122873060),(52 121591870),(53 120207670),(54 119204350),(55 118583464),(56 117665340),(57 116768260),(58 115876904),(59 115264616),(60 114949496),(61 114727460),(62 114537280),(63 114604870),(64 115428504),(65 116314104),(66 117562264),(67 118996120),(68 120175896),(69 121247680),(70 121808616),(71 122153280),(72 122620390),(73 123300970),(74 123939450),(75 124038170),(76 123920470),(77 123243784),(78 121773950),(79 120280580),
(1 233015.22),(2 892493.3),(3 1932272.4),(4 3340557.5),(5 5047977),(6 7041356),(7 9322703),(8 12039668),(9 15109509),(10 18382570),(11 21811766),(12 25320124),(13 28910476),(14 32362100),(15 35613250),(16 38708776),(17 41882868),(18 45044730),(19 48453060),(20 52075510),(21 55797090),(22 59550336),(23 63337110),(24 66978920),(25 70451920),(26 73627020),(27 76632510),(28 79716730),(29 82960020),(30 86221710),(31 89676800),(32 93226580),(33 96602280),(34 99878220),(35 103042584),(36 105998580),(37 108807464),(38 111330990),(39 113452610),(40 115456850),(41 117378450),(42 119291544),(43 120797260),(44 121847400),(45 122599336),(46 123123816),(47 123303830),(48 123106456),(49 122882330),(50 122085910),(51 120995460),(52 119733120),(53 118123010),(54 116518310),(55 114965096),(56 113280920),(57 111736216),(58 110648000),(59 109606056),(60 109154536),(61 109039210),(62 109310680),(63 109901870),(64 110658970),(65 111603816),(66 112573800),(67 113510270),(68 114220030),(69 114791950),(70 114777750),(71 114838376),(72 115138420),(73 115372340),(74 115603736),(75 115407896),(76 115004750),(77 114434536),(78 113304340),(79 112082050),
(1 289025.44),(2 1117609.9),(3 2455280),(4 4263781.5),(5 6493734.5),(6 9083877),(7 12023657),(8 15401168),(9 19181418),(10 23469738),(11 27957634),(12 32513770),(13 37083810),(14 41348068),(15 45288160),(16 48973504),(17 52593840),(18 56155868),(19 59853516),(20 63870348),(21 67923690),(22 72015620),(23 76166830),(24 80117520),(25 83828140),(26 87158184),(27 90081944),(28 92798870),(29 95519990),(30 98134136),(31 100858730),(32 103564584),(33 106122344),(34 108570140),(35 110882970),(36 113079560),(37 115113144),(38 116968280),(39 118569210),(40 119934136),(41 120983770),(42 121853660),(43 122290296),(44 122433030),(45 122303970),(46 121956490),(47 121326936),(48 120545540),(49 119855016),(50 118953110),(51 118033090),(52 117066440),(53 115979580),(54 114980184),(55 113822850),(56 112745160),(57 111930390),(58 111495770),(59 111275160),(60 111352360),(61 111506210),(62 111952580),(63 112727140),(64 113365510),(65 114451800),(66 115679400),(67 117003030),(68 118309256),(69 119711576),(70 120449450),(71 121500600),(72 122709430),(73 123848616),(74 124899330),(75 125602520),(76 126114840),(77 126379780),(78 126114280),(79 125780640),
(1 388263.94),(2 1511063.6),(3 3313954.8),(4 5765121),(5 8772920),(6 12301616),(7 16368820),(8 20917728),(9 25940794),(10 31383890),(11 36916150),(12 42343412),(13 47543730),(14 52255200),(15 56416790),(16 60097104),(17 63412720),(18 66318896),(19 68959060),(20 71517430),(21 73834750),(22 76086360),(23 78171340),(24 80133544),(25 81911330),(26 83371870),(27 84606456),(28 85840984),(29 87038850),(30 88194180),(31 89500550),(32 90812744),(33 92124984),(34 93336230),(35 94597784),(36 95695610),(37 96784670),(38 97827550),(39 98789384),(40 99614210),(41 100164080),(42 100582370),(43 100663400),(44 100412296),(45 99854040),(46 98933544),(47 97735840),(48 96386960),(49 94944420),(50 93386456),(51 91794856),(52 90168380),(53 88599544),(54 87152610),(55 85634776),(56 84315710),(57 83335330),(58 82709704),(59 82340510),(60 82233816),(61 82163710),(62 82247060),(63 82550744),(64 82558264),(65 82575370),(66 82357500),(67 82120630),(68 81689220),(69 81233020),(70 80423700),(71 79819810),(72 79325790),(73 78879090),(74 78611970),(75 78416270),(76 78299550),(77 78183140),(78 78079110),(79 77969610),
(1 354190.4),(2 1377579.3),(3 3004301.3),(4 5188291),(5 7821755.5),(6 10938636),(7 14774019),(8 19136500),(9 24089458),(10 29655166),(11 35229964),(12 40489090),(13 45419390),(14 49553356),(15 52942476),(16 55621428),(17 57709744),(18 59239230),(19 60407972),(20 61403560),(21 62078148),(22 62562372),(23 62819932),(24 62912624),(25 62764228),(26 62384396),(27 61891212),(28 61419812),(29 60893184),(30 60474240),(31 60261336),(32 60277330),(33 60546444),(34 60975804),(35 61627876),(36 62374340),(37 63201200),(38 64037760),(39 64777124),(40 65390256),(41 65798480),(42 66093310),(43 66136640),(44 65912644),(45 65498710),(46 64915176),(47 64249880),(48 63554436),(49 62895104),(50 62282896),(51 61620316),(52 61006256),(53 60309852),(54 59656924),(55 58923788),(56 58089856),(57 57259240),(58 56667630),(59 56316212),(60 56095476),(61 55952150),(62 55921924),(63 56140520),(64 56481384),(65 56811440),(66 56945750),(67 56854480),(68 56387864),(69 55517080),(70 54002610),(71 52306244),(72 50593944),(73 48902424),(74 47233884),(75 45698684),(76 44335772),(77 43110124),(78 42018880),(79 41123444),
(1 309282.66),(2 1197302.1),(3 2601260.5),(4 4448139.5),(5 6606297),(6 9126923),(7 12187866),(8 15685184),(9 19697076),(10 24435806),(11 29411226),(12 34227908),(13 38752416),(14 42640556),(15 45797676),(16 48099484),(17 49639340),(18 50553304),(19 50983624),(20 51139824),(21 51093240),(22 50901304),(23 50532110),(24 50004480),(25 49266332),(26 48362144),(27 47252616),(28 45964660),(29 44599670),(30 43243864),(31 41906220),(32 40736620),(33 39809496),(34 39193736),(35 38868376),(36 38789950),(37 38879496),(38 39059176),(39 39255510),(40 39517120),(41 39692280),(42 39816000),(43 39880730),(44 39868900),(45 39761856),(46 39555790),(47 39317216),(48 39072716),(49 38849180),(50 38722950),(51 38580810),(52 38502612),(53 38350544),(54 38232540),(55 38030496),(56 37768024),(57 37425070),(58 37102200),(59 36932410),(60 36815980),(61 36789090),(62 36858424),(63 36948536),(64 37177144),(65 37555496),(66 38066504),(67 38584990),(68 38971450),(69 39052170),(70 38760096),(71 37997570),(72 37194140),(73 36455050),(74 35798020),(75 35307680),(76 35035468),(77 34821336),(78 34606308),(79 34366324),
(1 266706.97),(2 1016763.4),(3 2167816.3),(4 3637133),(5 5313982),(6 7163451),(7 9177626),(8 11386450),(9 13789535),(10 16435100),(11 19238254),(12 22044908),(13 24687340),(14 27017740),(15 28944830),(16 30405312),(17 31410954),(18 32175144),(19 32712212),(20 33168674),(21 33657420),(22 34151268),(23 34655670),(24 35121816),(25 35529852),(26 35833590),(27 35980708),(28 35984120),(29 35888412),(30 35763972),(31 35672000),(32 35720984),(33 35912636),(34 36324860),(35 36895370),(36 37575470),(37 38301372),(38 38982904),(39 39531584),(40 39986820),(41 40290316),(42 40386252),(43 40345770),(44 40181080),(45 39853610),(46 39362736),(47 38698308),(48 37914850),(49 36934276),(50 35885340),(51 34732230),(52 33568390),(53 32387470),(54 31276298),(55 30161538),(56 29153420),(57 28254880),(58 27480096),(59 26916468),(60 26443416),(61 26118796),(62 25893060),(63 25679228),(64 25534944),(65 25370354),(66 25364776),(67 25433952),(68 25521954),(69 25545252),(70 25532500),(71 25426680),(72 25404830),(73 25620052),(74 26140292),(75 26930364),(76 27929354),(77 29004420),(78 30071552),(79 31126072),
(1 277560.56),(2 1048861),(3 2210271.5),(4 3659802.3),(5 5291390.5),(6 7044690),(7 8883007),(8 10802507),(9 12774469),(10 14868237),(11 17033394),(12 19111434),(13 21004318),(14 22600736),(15 23874396),(16 24763672),(17 25386088),(18 25915260),(19 26462964),(20 27123212),(21 27913152),(22 28714854),(23 29458560),(24 29983526),(25 30258312),(26 30188556),(27 29830958),(28 29354344),(29 28818170),(30 28336776),(31 27958516),(32 27774020),(33 27720998),(34 27849852),(35 28134030),(36 28512604),(37 28965700),(38 29405566),(39 29856984),(40 30196698),(41 30404372),(42 30446854),(43 30295636),(44 29921800),(45 29426478),(46 28868834),(47 28319900),(48 27821610),(49 27375282),(50 27003166),(51 26732566),(52 26551406),(53 26428606),(54 26343866),(55 26328378),(56 26291262),(57 26279658),(58 26422232),(59 26664794),(60 27016886),(61 27358314),(62 27611740),(63 27738346),(64 27792806),(65 27768840),(66 27740130),(67 27713130),(68 27657660),(69 27562798),(70 27461590),(71 27430210),(72 27520184),(73 27723492),(74 28033442),(75 28330984),(76 28583854),(77 28726066),(78 28739386),(79 28669022),
(1 229642.39),(2 869649.94),(3 1833953.3),(4 3032468.3),(5 4367054),(6 5782582.5),(7 7303950),(8 8963858),(9 10762417),(10 12745169),(11 14878295),(12 16947372),(13 18791282),(14 20304642),(15 21389446),(16 22020304),(17 22344110),(18 22578088),(19 22916144),(20 23529386),(21 24464014),(22 25590194),(23 26801024),(24 27812194),(25 28555024),(26 28870544),(27 28744952),(28 28297212),(29 27610996),(30 26896136),(31 26227226),(32 25727258),(33 25358760),(34 25178330),(35 25149744),(36 25263152),(37 25490304),(38 25842342),(39 26297648),(40 26751980),(41 27218432),(42 27614436),(43 27876918),(44 27926672),(45 27756404),(46 27386256),(47 26877832),(48 26300584),(49 25654362),(50 25022450),(51 24364604),(52 23698650),(53 23035408),(54 22373518),(55 21702096),(56 21018786),(57 20321248),(58 19725218),(59 19395010),(60 19265362),(61 19290352),(62 19381044),(63 19445488),(64 19554030),(65 19593488),(66 19662538),(67 19657212),(68 19542926),(69 19299586),(70 19006570),(71 18610228),(72 18319062),(73 18190848),(74 18212168),(75 18307224),(76 18413776),(77 18456602),(78 18363778),(79 18137904),
(1 209534.13),(2 791628.9),(3 1660401.8),(4 2719811.5),(5 3870582.8),(6 5034950),(7 6152769.5),(8 7304842),(9 8549248),(10 9983719),(11 11596403),(12 13299438),(13 14929200),(14 16348441),(15 17404094),(16 18027910),(17 18280138),(18 18329654),(19 18385936),(20 18640918),(21 19124328),(22 19796670),(23 20532510),(24 21152026),(25 21532286),(26 21600594),(27 21395588),(28 21031104),(29 20654062),(30 20409122),(31 20377722),(32 20611066),(33 20984120),(34 21463102),(35 21984228),(36 22470760),(37 22898736),(38 23285198),(39 23626508),(40 23877236),(41 24090806),(42 24232854),(43 24262984),(44 24180846),(45 23932604),(46 23542494),(47 22997564),(48 22363392),(49 21631606),(50 20823108),(51 19992990),(52 19149570),(53 18308880),(54 17526430),(55 16802270),(56 16209426),(57 15733920),(58 15418242),(59 15228359),(60 15184379),(61 15204468),(62 15285486),(63 15372224),(64 15520217),(65 15765993),(66 16109753),(67 16450192),(68 16686247),(69 16695468),(70 16520859),(71 16161088),(72 15729166),(73 15377074),(74 15158478),(75 15072320),(76 15071260),(77 15075961),(78 15022133),(79 14903020),
(1 201092.47),(2 750547.44),(3 1539929),(4 2463673.3),(5 3420118.5),(6 4330647),(7 5220457),(8 6109720.5),(9 6995346),(10 7942228.5),(11 9049308),(12 10265041),(13 11514591),(14 12667425),(15 13560983),(16 14130337),(17 14403572),(18 14520083),(19 14602752),(20 14851010),(21 15272862),(22 15826596),(23 16375616),(24 16790258),(25 16977250),(26 16953188),(27 16794814),(28 16663906),(29 16668190),(30 16956932),(31 17541168),(32 18391796),(33 19392896),(34 20391610),(35 21288014),(36 21971616),(37 22377902),(38 22494748),(39 22340304),(40 21964658),(41 21460052),(42 20912492),(43 20316834),(44 19759128),(45 19283280),(46 18985968),(47 18823044),(48 18778008),(49 18740862),(50 18584968),(51 18267872),(52 17764958),(53 17069956),(54 16260115),(55 15385623),(56 14582953),(57 13869952),(58 13371029),(59 13068331),(60 12930479),(61 12835498),(62 12686716),(63 12409723),(64 12104243),(65 11830895),(66 11696111),(67 11665197),(68 11657028),(69 11606336),(70 11517122),(71 11436809),(72 11395087),(73 11463646),(74 11627889),(75 11892191),(76 12194457),(77 12463821),(78 12657373),(79 12753469),
