1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 125532.44),(2 330899.5),(3 533528.3),(4 671539.4),(5 781025.2),(6 826375.8),(7 848769.25),(8 849983.3),(9 864400),(10 870045.3),(11 945882.06),(12 1082322.9),(13 1293698),(14 1429689),(15 1480331.6),(16 1516328.9),(17 1531582.4),(18 1515638.9),(19 1508701),(20 1542109.5),(21 1668104.4),(22 1838491.1),(23 2044954.1),(24 2421650),(25 2610164.8),(26 2742784.5),(27 2869363.3),(28 2941926.8),(29 2950701.8),(30 3012155.3),(31 3114694.8),(32 3226548),(33 3281233.8),(34 3376559),(35 3563459.3),(36 3765285.8),(37 3907110.8),(38 3932464.3),(39 3800231.8),(40 3639756.3),(41 3476276),(42 3331852.3),(43 3293750),(44 3349802.8),(45 3343506),(46 3327054.8),(47 3204754),(48 3008387.8),(49 2764411.8),(50 2548973.8),(51 2412121),(52 2320958.8),(53 2282280.3),(54 2266401.3),(55 2312312.8),(56 2280229.5),(57 2212598.8),(58 2088765.6),(59 1894296.4),(60 1726698.4),(61 1622128.1),(62 1592589.4),(63 1639042),(64 1700575.1),(65 1840819.6),(66 1889828.4),(67 1864233.5),(68 1863196.1),(69 1924995.5),(70 1899298.5),(71 1857466.6),(72 1824599.1),(73 1863929.4),(74 1959504.9),(75 2206991.5),(76 2410387.3),(77 2694151),(78 2874172.8),(79 2964740),
(1 112830.27),(2 296854.8),(3 498521.7),(4 663817.7),(5 828867.7),(6 906934.2),(7 985178.4),(8 1019062.7),(9 1052474.8),(10 1066963.6),(11 1139108.6),(12 1229726.4),(13 1350300.8),(14 1443927.8),(15 1503083.1),(16 1576700.3),(17 1613636.6),(18 1659391.9),(19 1716548.3),(20 1724170.6),(21 1735680.8),(22 1809280.4),(23 1904388),(24 2097056),(25 2238304.5),(26 2358076),(27 2434828),(28 2479168.5),(29 2404724),(30 2327987.8),(31 2271894),(32 2233459.3),(33 2223826.8),(34 2228866.8),(35 2325045.3),(36 2421153.3),(37 2459713.3),(38 2462924.8),(39 2386742.3),(40 2235044.5),(41 2139612.8),(42 2077430.4),(43 2122667.5),(44 2306375),(45 2463844.5),(46 2528166),(47 2540388.5),(48 2503965.5),(49 2380415.5),(50 2271441.5),(51 2186619.3),(52 2175903.5),(53 2223796.5),(54 2345071.5),(55 2477751.3),(56 2582296.5),(57 2805128.8),(58 2905872),(59 2849020.5),(60 2773275.5),(61 2774972.5),(62 2708477.5),(63 2669047.8),(64 2699532),(65 2729513.8),(66 2725803),(67 2695330.5),(68 2679484.3),(69 2715735.3),(70 2638634),(71 2554223.3),(72 2527446.5),(73 2520590.5),(74 2500133.3),(75 2591622.5),(76 2669431),(77 2789858.5),(78 2830465.5),(79 2829224.5),
(1 111828.09),(2 298318.6),(3 476602.34),(4 610625.3),(5 706476.44),(6 757145.44),(7 784391.5),(8 753871.2),(9 763595.56),(10 782160.5),(11 835164.7),(12 938495.5),(13 1044547.7),(14 1117755.5),(15 1199558),(16 1249828.4),(17 1278974.6),(18 1267233.9),(19 1231638),(20 1170808.1),(21 1162582.9),(22 1237677.9),(23 1329792.4),(24 1461516),(25 1568975.4),(26 1646621),(27 1672624.6),(28 1665509.9),(29 1657702.4),(30 1623302.1),(31 1605121),(32 1619214.1),(33 1636949.1),(34 1681847.4),(35 1782183.6),(36 1871619.6),(37 1920692.1),(38 1980171.6),(39 1970749.5),(40 1944427),(41 1948633.9),(42 1995001.6),(43 2117340.3),(44 2266427.8),(45 2368280.3),(46 2406325.8),(47 2483841),(48 2541562),(49 2507735),(50 2459659.5),(51 2358232),(52 2323940.3),(53 2376013.5),(54 2464225.3),(55 2529893.3),(56 2532950.3),(57 2583075.8),(58 2682355.3),(59 2703064.5),(60 2678157),(61 2591584.3),(62 2467643),(63 2380374.5),(64 2394136.8),(65 2425417.8),(66 2421930.8),(67 2469501.3),(68 2556060.8),(69 2574898.5),(70 2440915.8),(71 2324118.8),(72 2259585.3),(73 2246149),(74 2254313),(75 2333205),(76 2416647.8),(77 2533191.8),(78 2621840.5),(79 2633960.8),
(1 119612.164),(2 347808.13),(3 611173.9),(4 845123.44),(5 1047420.75),(6 1175842.5),(7 1207068.5),(8 1233690.8),(9 1234894.3),(10 1264098),(11 1372515.5),(12 1499992.4),(13 1622287.1),(14 1721292.9),(15 1803127.8),(16 1837474.6),(17 1837936.6),(18 1812504.5),(19 1755347.8),(20 1723104),(21 1754311.5),(22 1831197),(23 1925529.8),(24 2057334.3),(25 2225230.8),(26 2389445.3),(27 2474938.3),(28 2563516.8),(29 2560477.8),(30 2558398.3),(31 2617782.8),(32 2687710),(33 2777028.5),(34 2937897),(35 3050779.5),(36 3145272.5),(37 3233864.5),(38 3253943.8),(39 3258071.8),(40 3276836),(41 3316367),(42 3347443),(43 3478663),(44 3661952.5),(45 3828162.8),(46 3901335.5),(47 3969377),(48 3963589),(49 3843124.5),(50 3742192),(51 3651757.8),(52 3595895),(53 3583866.3),(54 3626015.3),(55 3647814.8),(56 3627616),(57 3633668.8),(58 3583224),(59 3463077.3),(60 3354252),(61 3241813.3),(62 3152709.8),(63 3117344),(64 3107552),(65 3105048),(66 3101428),(67 3153972.5),(68 3225096.3),(69 3254734.3),(70 3235325),(71 3226942.8),(72 3183197.8),(73 3172979.5),(74 3169150),(75 3226426.3),(76 3318481.5),(77 3410116.8),(78 3466453.3),(79 3492078.8),
(1 128293.67),(2 376581.47),(3 664549.44),(4 889094.4),(5 1062669),(6 1188401.9),(7 1240018.1),(8 1264738),(9 1269790.1),(10 1293426.9),(11 1413753.8),(12 1595654.5),(13 1799488.8),(14 1986105.3),(15 2134071),(16 2242835),(17 2294525.5),(18 2306632.8),(19 2288307),(20 2255331.8),(21 2250180.8),(22 2291952.5),(23 2397964),(24 2574206.5),(25 2782913.8),(26 2943029.8),(27 3042260.3),(28 3135943.3),(29 3164677),(30 3180451),(31 3246216.3),(32 3332907.8),(33 3431383),(34 3576675.8),(35 3682685),(36 3753942.5),(37 3807889.5),(38 3807404),(39 3716712.8),(40 3588262.5),(41 3467965.8),(42 3370720.8),(43 3374393.5),(44 3407282.3),(45 3492183.3),(46 3525563),(47 3562627),(48 3518938.5),(49 3361729),(50 3193455.3),(51 3066846.5),(52 2991301.8),(53 2980117.8),(54 3030383.8),(55 3055476.3),(56 3091174.5),(57 3131274.5),(58 3127286.5),(59 3023603.3),(60 2936539.8),(61 2833032),(62 2718011.3),(63 2657355.8),(64 2697174.3),(65 2816705.3),(66 2914291.3),(67 3018089.8),(68 3129945),(69 3231307.3),(70 3274071.8),(71 3304702.3),(72 3339976.3),(73 3394185.5),(74 3492419),(75 3633505),(76 3797833.5),(77 3947755),(78 4033199.3),(79 4106159.3),
(1 102243.85),(2 294707.78),(3 484371.4),(4 610731.1),(5 733876.7),(6 861553.8),(7 967229.4),(8 1027862.3),(9 1093207.3),(10 1123213.6),(11 1211819),(12 1351290.6),(13 1506173.9),(14 1640710.8),(15 1765550),(16 1851371.8),(17 1931993.4),(18 1962069.4),(19 1963401.3),(20 1907654),(21 1892809.6),(22 1947954),(23 2030412.3),(24 2163375.3),(25 2325316.8),(26 2475076.5),(27 2595775.3),(28 2632914.5),(29 2635887),(30 2622753.5),(31 2619080.5),(32 2635267),(33 2689403.3),(34 2751415.5),(35 2791805.5),(36 2797873.5),(37 2838170.3),(38 2833773),(39 2818673.8),(40 2759888.8),(41 2709702.8),(42 2667518),(43 2732377.5),(44 2793187.5),(45 2843824.5),(46 2907329),(47 2967002.5),(48 2940968),(49 2834026.8),(50 2715323),(51 2605764),(52 2543228),(53 2548800.8),(54 2568418),(55 2572861.3),(56 2574618.5),(57 2586120.8),(58 2523977.5),(59 2450346),(60 2394698.8),(61 2341060.5),(62 2298778.8),(63 2316960),(64 2367486.8),(65 2462015.8),(66 2554757.3),(67 2606743.3),(68 2585504.8),(69 2553877.5),(70 2531248.5),(71 2517359.3),(72 2540068.8),(73 2595242),(74 2662751.3),(75 2736694.5),(76 2839523.3),(77 3004880.8),(78 3117521.5),(79 3208129.5),
(1 92945.89),(2 251382.11),(3 427085.94),(4 578619.56),(5 720552.1),(6 830963),(7 900510.06),(8 939532.7),(9 982503.44),(10 1022596.6),(11 1111717.8),(12 1226281.5),(13 1341139.9),(14 1450351.1),(15 1589091.8),(16 1655900.1),(17 1695091.5),(18 1694867.4),(19 1670539.3),(20 1636663.9),(21 1645910.9),(22 1714626.9),(23 1843808.9),(24 1988749.9),(25 2143949.3),(26 2320989),(27 2444738.5),(28 2546583.8),(29 2636102.3),(30 2671708.5),(31 2730987.8),(32 2798388),(33 2872285),(34 2916556),(35 2933212),(36 2899898.8),(37 2884877.8),(38 2841244),(39 2782983.8),(40 2750654.3),(41 2750382.5),(42 2782106.8),(43 2803310.8),(44 2835098.5),(45 2851112.5),(46 2898751),(47 2934939),(48 2959657.3),(49 2914629.3),(50 2842985.8),(51 2789747),(52 2766456.3),(53 2741426.8),(54 2758096.3),(55 2774868.5),(56 2735780.5),(57 2689794.8),(58 2621509.8),(59 2544286.8),(60 2490221.8),(61 2465545.3),(62 2422452),(63 2415805.5),(64 2422796),(65 2448258.3),(66 2524599),(67 2565332.3),(68 2602588.5),(69 2585861),(70 2559348.3),(71 2547668.5),(72 2557287.5),(73 2570689.8),(74 2527369.3),(75 2499321.8),(76 2484018.5),(77 2495650.3),(78 2506496.8),(79 2506165.8),
(1 113603.96),(2 327034.53),(3 560482.9),(4 744286.75),(5 883278),(6 978174),(7 1011343.6),(8 1016661.9),(9 1022932.7),(10 1064084.4),(11 1174378.8),(12 1365799.9),(13 1589323.5),(14 1784180.1),(15 1933451.9),(16 2018281.9),(17 2043244.1),(18 2013738.5),(19 1961678.9),(20 1921684.5),(21 1929634.5),(22 2042652),(23 2195666),(24 2337775.8),(25 2469593),(26 2579660.5),(27 2645569),(28 2647927.3),(29 2630292),(30 2613879.8),(31 2611308.5),(32 2667183.5),(33 2746316.5),(34 2854100.3),(35 2958032.8),(36 3029215.5),(37 3078023),(38 3117433.3),(39 3148283.8),(40 3166423),(41 3144487),(42 3170072),(43 3278451.8),(44 3365775),(45 3455974.5),(46 3554336.3),(47 3591397.8),(48 3634290.5),(49 3679146.3),(50 3723704),(51 3765029),(52 3810864),(53 3915933.8),(54 4002265),(55 4082912.5),(56 4109306.3),(57 4101663.5),(58 4040764.5),(59 3967264.3),(60 3859486.5),(61 3784468.5),(62 3739833),(63 3706379.3),(64 3707086.8),(65 3745598.3),(66 3750707.8),(67 3773241.8),(68 3806800.8),(69 3847057.8),(70 3880915.8),(71 3907771),(72 3860950.5),(73 3841769),(74 3893920.5),(75 3911040.8),(76 3898888.3),(77 3892231.8),(78 3889809.3),(79 3894161),
(1 113923.97),(2 329809.03),(3 554950.7),(4 773587.5),(5 953223.3),(6 1048012),(7 1075633.6),(8 1081129),(9 1090267),(10 1139837),(11 1293289.4),(12 1501412.5),(13 1723727),(14 1934562),(15 2078137.4),(16 2135874.3),(17 2139745.5),(18 2135388.3),(19 2124353.3),(20 2128472.5),(21 2215047.8),(22 2348066.5),(23 2532820.5),(24 2704867.8),(25 2863829.8),(26 2973832.5),(27 3041426),(28 3033252.3),(29 3063663),(30 3102252.8),(31 3103636.3),(32 3155948.8),(33 3245597.8),(34 3318222),(35 3372890.8),(36 3405588.5),(37 3353132),(38 3317082.8),(39 3265675.8),(40 3203808.8),(41 3168182.8),(42 3168154.3),(43 3234242.3),(44 3299927),(45 3328432.5),(46 3315674.5),(47 3288593),(48 3221712),(49 3187418),(50 3169610.5),(51 3152594.3),(52 3153015),(53 3192803.8),(54 3255500.8),(55 3301974),(56 3306238.3),(57 3287994.3),(58 3268813.3),(59 3234510.8),(60 3203358),(61 3199145.8),(62 3244832),(63 3281590),(64 3327444.8),(65 3356924.8),(66 3430541.8),(67 3497821),(68 3501506.3),(69 3456609),(70 3438834.8),(71 3442958.3),(72 3425152),(73 3415745.8),(74 3434416),(75 3513161.5),(76 3573534.5),(77 3627591.5),(78 3677448),(79 3698754.3),
(1 124212.016),(2 352936.53),(3 598017.9),(4 827209.9),(5 1020857),(6 1161981.4),(7 1227453.4),(8 1258016),(9 1263842.5),(10 1304911.4),(11 1438538.8),(12 1632438.6),(13 1839770),(14 2009564.5),(15 2165290.3),(16 2261499),(17 2311342.3),(18 2322259),(19 2300646.5),(20 2282417.8),(21 2324680),(22 2416233.5),(23 2561601.3),(24 2723777.8),(25 2856354.8),(26 2942847.3),(27 2965334.8),(28 2934065),(29 2901907),(30 2897212.8),(31 2914511),(32 2968996.3),(33 3064909.3),(34 3164069.3),(35 3240351.5),(36 3255886.3),(37 3234007.3),(38 3170892.5),(39 3102679.5),(40 3043841.8),(41 3022433.3),(42 3004978.5),(43 3015041),(44 3081780),(45 3153624.8),(46 3192525.3),(47 3194823),(48 3160918.5),(49 3122211),(50 3078430.8),(51 3063688.5),(52 3089154),(53 3200685),(54 3310345),(55 3402047.5),(56 3461067),(57 3497517),(58 3519841),(59 3452530.3),(60 3382819.5),(61 3333591),(62 3280994.5),(63 3318355.3),(64 3393772),(65 3476721),(66 3578109.5),(67 3636704.8),(68 3690543.8),(69 3683484),(70 3655798),(71 3644968.3),(72 3640204.8),(73 3654065),(74 3713948.8),(75 3787686.8),(76 3871096),(77 3949934.8),(78 3977358.8),(79 3992869.3),
(1 123091.75),(2 357085.5),(3 586004.75),(4 786206.7),(5 958434.8),(6 1081291.6),(7 1127549.6),(8 1131492.8),(9 1112773.4),(10 1135381),(11 1216664.4),(12 1357996.8),(13 1502945),(14 1628962.3),(15 1749271.5),(16 1820785.8),(17 1867252.4),(18 1870846.6),(19 1840020),(20 1834881.4),(21 1899441.9),(22 2016835),(23 2209486.5),(24 2412441.5),(25 2585300.3),(26 2738691.5),(27 2855616.5),(28 2924008),(29 2936726.8),(30 2957172.8),(31 3030643.3),(32 3105043.3),(33 3231004),(34 3377463),(35 3511463.5),(36 3614218),(37 3652797.8),(38 3680992.3),(39 3713526),(40 3753504),(41 3755231.8),(42 3816607.8),(43 3884150.5),(44 4011938.8),(45 4104687.5),(46 4202670),(47 4250751.5),(48 4301978.5),(49 4313582),(50 4345520),(51 4374577.5),(52 4407082),(53 4456526.5),(54 4538562.5),(55 4612791.5),(56 4613046),(57 4569615.5),(58 4539875),(59 4529628),(60 4523400.5),(61 4463660),(62 4431093),(63 4461455.5),(64 4491012),(65 4532781.5),(66 4575436),(67 4582813.5),(68 4580414),(69 4573030.5),(70 4550675),(71 4508217),(72 4472112.5),(73 4456103.5),(74 4476967.5),(75 4522512),(76 4533183),(77 4545839.5),(78 4573711.5),(79 4615868),
